"conf.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_TRUE";"cohen_FALSE";"shieh_TRUE";"shieh_FALSE";"trshieh_TRUE";"trshieh_FALSE"
"112";0,95;50;100;0;0,5;0;0;0;0;0;0
"113";0,95;50;100;0;0,25;0;0;0;0;0;0
"114";0,95;50;100;1;10;0;0;0;0;0;0
"115";0,95;50;100;1;4;0;0;0;0;0;0
"116";0,95;50;100;1;2;0;0;0;0;0;0
"117";0,95;50;100;1;1;0;0;0;0;0;0
"118";0,95;50;100;1;0,1;0;0;0;0;0;0
"119";0,95;50;100;1;0,5;0;0;0;0;0;0
"120";0,95;50;100;1;0,25;0;0;0;0;0;0
"121";0,95;50;100;2;10;0;0;0;0;0;0
"122";0,95;50;100;2;4;0;0;0;0;0;0
"123";0,95;50;100;2;2;0;0;0;0;0;0
"124";0,95;50;100;2;1;0;0;0;0;0;0
"125";0,95;50;100;2;0,1;0;0;0;0;0;0
"126";0,95;50;100;2;0,5;0;0;0;0;0;0
"127";0,95;50;100;2;0,25;0;0;0;0;0;0
"128";0,95;50;100;3;10;0;0;0;0;0;0
"129";0,95;50;100;3;4;0;0;0;0;0;0
"130";0,95;50;100;3;2;0;0;0;0;0;0
"131";0,95;50;100;3;1;0;0;0;0;0;0
"132";0,95;50;100;3;0,1;0;0;0;0;0;0
"133";0,95;50;100;3;0,5;0;0;0;0;0;0
"134";0,95;50;100;3;0,25;0;0;0;0;0;0
"135";0,95;50;100;4;10;0;0;0;0;0;0
"136";0,95;50;100;4;4;0;0;0;0;0;0
"137";0,95;50;100;4;2;0;0;0;0;0;0
"138";0,95;50;100;4;1;0;0;0;0;0;0
"139";0,95;50;100;4;0,1;0;0;0;0;0;0
"140";0,95;50;100;4;0,5;0;0;0;0;0;0
"141";0,95;50;100;4;0,25;0;0;0;0;0;0
"142";0,95;50;20;0;10;0;0;0;0;0;0
"143";0,95;50;20;0;4;0;0;0;0;0;0
"144";0,95;50;20;0;2;0;0;0;0;0;0
"145";0,95;50;20;0;1;0;0;0;0;0;0
"146";0,95;50;20;0;0,1;0;0;0;0;0;0
"147";0,95;50;20;0;0,5;0;0;0;0;0;0
"148";0,95;50;20;0;0,25;0;0;0;0;0;0
"149";0,95;50;20;1;10;0;0;0;0;0;0
"150";0,95;50;20;1;4;0;0;0;0;0;0
"151";0,95;50;20;1;2;0;0;0;0;0;0
"152";0,95;50;20;1;1;0;0;0;0;0;0
"153";0,95;50;20;1;0,1;0;0;0;0;0;0
"154";0,95;50;20;1;0,5;0;0;0;0;0;0
"155";0,95;50;20;1;0,25;0;0;0;0;0;0
"156";0,95;50;20;2;10;0;0;0;0;0;0
"157";0,95;50;20;2;4;0;0;0;0;0;0
"158";0,95;50;20;2;2;0;0;0;0;0;0
"159";0,95;50;20;2;1;0;0;0;0;0;0
"160";0,95;50;20;2;0,1;0;0;0;0;0;0
"161";0,95;50;20;2;0,5;0;0;0;0;0;0
"162";0,95;50;20;2;0,25;0;0;0;0;0;0
"163";0,95;50;20;3;10;0;0;0;0;0;0
"164";0,95;50;20;3;4;0;0;0;0;0;0
"165";0,95;50;20;3;2;0;0;0;0;0;0
"166";0,95;50;20;3;1;0;0;0;0;0;0
"167";0,95;50;20;3;0,1;0;0;0;0;0;0
"168";0,95;50;20;3;0,5;0;0;0;0;0;0
"169";0,95;50;20;3;0,25;0;0;0;0;0;0
"170";0,95;50;20;4;10;0;0;0;0;0;0
"171";0,95;50;20;4;4;0;0;0;0;0;0
"172";0,95;50;20;4;2;0;0;0;0;0;0
"173";0,95;50;20;4;1;0;0;0;0;0;0
"174";0,95;50;20;4;0,1;0;0;0;0;0;0
"175";0,95;50;20;4;0,5;0;0;0;0;0;0
"176";0,95;50;20;4;0,25;0;0;0;0;0;0
"177";0,95;50;50;0;10;0;0;0;0;0;0
"178";0,95;50;50;0;4;0;0;0;0;0;0
"179";0,95;50;50;0;2;0;0;0;0;0;0
"180";0,95;50;50;0;1;0;0;0;0;0;0
"181";0,95;50;50;0;0,1;0;0;0;0;0;0
"182";0,95;50;50;0;0,5;0;0;0;0;0;0
"183";0,95;50;50;0;0,25;0;0;0;0;0;0
"184";0,95;50;50;1;10;0;0;0;0;0;0
"185";0,95;50;50;1;4;0;0;0;0;0;0
"186";0,95;50;50;1;2;0;0;0;0;0;0
"187";0,95;50;50;1;1;0;0;0;0;0;0
"188";0,95;50;50;1;0,1;0;0;0;0;0;0
"189";0,95;50;50;1;0,5;0;0;0;0;0;0
"190";0,95;50;50;1;0,25;0;0;0;0;0;0
"191";0,95;50;50;2;10;0;0;0;0;0;0
"192";0,95;50;50;2;4;0;0;0;0;0;0
"193";0,95;50;50;2;2;0;0;0;0;0;0
"194";0,95;50;50;2;1;0;0;0;0;0;0
"195";0,95;50;50;2;0,1;0;0;0;0;0;0
"196";0,95;50;50;2;0,5;0;0;0;0;0;0
"197";0,95;50;50;2;0,25;0;0;0;0;0;0
"198";0,95;50;50;3;10;0;0;0;0;0;0
"199";0,95;50;50;3;4;0;0;0;0;0;0
"200";0,95;50;50;3;2;0;0;0;0;0;0
"201";0,95;50;50;3;1;0;0;0;0;0;0
"202";0,95;50;50;3;0,1;0;0;0;0;0;0
"203";0,95;50;50;3;0,5;0;0;0;0;0;0
"204";0,95;50;50;3;0,25;0;0;0;0;0;0
"205";0,95;50;50;4;10;0;0;0;0;0;0
"206";0,95;50;50;4;4;0;0;0;0;0;0
"207";0,95;50;50;4;2;0;0;0;0;0;0
"208";0,95;50;50;4;1;0;0;0;0;0;0
"209";0,95;50;50;4;0,1;0;0;0;0;0;0
"210";0,95;50;50;4;0,5;0;0;0;0;0;0
"211";0,95;50;50;4;0,25;0;0;0;0;0;0
"212";0,95;20;100;0;10;0;0;0;0;0;0
"213";0,95;20;100;0;4;0;0;0;0;0;0
"214";0,95;20;100;0;2;0;0;0;0;0;0
"215";0,95;20;100;0;1;0;0;0;0;0;0
"216";0,95;20;100;0;0,1;0;0;0;0;0;0
"217";0,95;20;100;0;0,5;0;0;0;0;0;0
"218";0,95;20;100;0;0,25;0;0;0;0;0;0
"219";0,95;20;100;1;10;0;0;0;0;0;0
"220";0,95;20;100;1;4;0;0;0;0;0;0
"221";0,95;20;100;1;2;0;0;0;0;0;0
"222";0,95;20;100;1;1;0;0;0;0;0;0
"223";0,95;20;100;1;0,1;0;0;0;0;0;0
"224";0,95;20;100;1;0,5;0;0;0;0;0;0
"225";0,95;20;100;1;0,25;0;0;0;0;0;0
"226";0,95;20;100;2;10;0;0;0;0;0;0
"227";0,95;20;100;2;4;0;0;0;0;0;0
"228";0,95;20;100;2;2;0;0;0;0;0;0
"229";0,95;20;100;2;1;0;0;0;0;0;0
"230";0,95;20;100;2;0,1;0;0;0;0;0;0
"231";0,95;20;100;2;0,5;0;0;0;0;0;0
"232";0,95;20;100;2;0,25;0;0;0;0;0;0
"233";0,95;20;100;3;10;0;0;0;0;0;0
"234";0,95;20;100;3;4;0;0;0;0;0;0
"235";0,95;20;100;3;2;0;0;0;0;0;0
"236";0,95;20;100;3;1;0;0;0;0;0;0
"237";0,95;20;100;3;0,1;0;0;0;0;0;0
"238";0,95;20;100;3;0,5;0;0;0;0;0;0
"239";0,95;20;100;3;0,25;0;0;0;0;0;0
"240";0,95;20;100;4;10;0;0;0;0;0;0
"241";0,95;20;100;4;4;0;0;0;0;0;0
"242";0,95;20;100;4;2;0;0;0;0;0;0
"243";0,95;20;100;4;1;0;0;0;0;0;0
"244";0,95;20;100;4;0,1;0;0;0;0;0;0
"245";0,95;20;100;4;0,5;0;0;0;0;0;0
"246";0,95;20;100;4;0,25;0;0;0;0;0;0
"247";0,95;20;20;0;10;0;0;0;0;0;0
"248";0,95;20;20;0;4;0;0;0;0;0;0
"249";0,95;20;20;0;2;0;0;0;0;0;0
"250";0,95;20;20;0;1;0;0;0;0;0;0
"251";0,95;20;20;0;0,1;0;0;0;0;0;0
"252";0,95;20;20;0;0,5;0;0;0;0;0;0
"253";0,95;20;20;0;0,25;0;0;0;0;0;0
"254";0,95;20;20;1;10;0;0;0;0;0;0
"255";0,95;20;20;1;4;0;0;0;0;0;0
"256";0,95;20;20;1;2;0;0;0;0;0;0
"257";0,95;20;20;1;1;0;0;0;0;0;0
"258";0,95;20;20;1;0,1;0;0;0;0;0;0
"259";0,95;20;20;1;0,5;0;0;0;0;0;0
"260";0,95;20;20;1;0,25;0;0;0;0;0;0
"261";0,95;20;20;2;4;0;0;0;0;0;0
