"X1";"X2";"X3";"X4";"X5"
"103";103;97;1,06185567010309;0,140767714285502;0,284050341624539
"104";104;96;1,08333333333333;0,140523433786105;0,284456335173523
"105";105;95;1,10526315789474;0,140266019452388;0,284864074575238
"106";106;94;1,12765957446809;0,139995504030315;0,285273572378183
"107";107;93;1,1505376344086;0,139711915669885;0,285684841257495
"108";108;92;1,17391304347826;0,139415277922866;0,286097894016589
"109";109;91;1,1978021978022;0,139105609733697;0,286512743588843
"110";110;90;1,22222222222222;0,138782925423501;0,286929403039288
"111";111;89;1,24719101123595;0,13844723466708;0,287347885566345
"112";112;88;1,27272727272727;0,138098542462767;0,287768204503576
"113";113;87;1,29885057471264;0,13773684909497;0,288190373321469
"114";114;86;1,32558139534884;0,13736215008923;0,288614405629253
"115";115;85;1,35294117647059;0,136974436159556;0,289040315176739
"116";116;84;1,38095238095238;0,136573693147804;0,289468115856192
"117";117;83;1,40963855421687;0,136159901954811;0,289897821704239
"118";118;82;1,4390243902439;0,135733038462964;0,290329446903795
"119";119;81;1,46913580246914;0,13529307344986;0,290763005786038
"120";120;80;1,5;0,134839972492648;0,291198512832403
"121";121;79;1,53164556962025;0,134373695862624;0,291635982676611
"122";122;78;1,56410256410256;0,133894198409591;0,292075430106741
"123";123;77;1,5974025974026;0,133401429435455;0,292516870067325
"124";124;76;1,63157894736842;0,132895332556461;0,292960317661483
"125";125;75;1,66666666666667;0,132375845553414;0,293405788153095
"126";126;74;1,7027027027027;0,13184290020919;0,293853296969007
"127";127;73;1,73972602739726;0,131296422132733;0,294302859701272
"128";128;72;1,77777777777778;0,130736330568682;0,294754492109437
"129";129;71;1,8169014084507;0,130162538191684;0,295208210122862
"130";130;70;1,85714285714286;0,129574950884339;0,295664029843074
"131";131;69;1,89855072463768;0,128973467497644;0,296121967546177
"132";132;68;1,94117647058824;0,128357979592662;0,296582039685283
"133";133;67;1,98507462686567;0,127728371162037;0,297044262893002
"134";134;66;2,03030303030303;0,127084518329824;0,297508653983965
"135";135;65;2,07692307692308;0,126426289027943;0,297975229957393
"136";136;64;2,125;0,125753542647403;0,29844400799971
"137";137;63;2,17460317460317;0,125066129662237;0,298915005487204
"138";138;62;2,2258064516129;0,124363891223888;0,29938823998873
"139";139;61;2,27868852459016;0,123646658723506;0,299863729268463
"140";140;60;2,33333333333333;0,122914253319396;0,300341491288702
"141";141;59;2,38983050847458;0,122166485426503;0,300821544212716
"142";142;58;2,44827586206897;0,121403154164495;0,301303906407644
"143";143;57;2,50877192982456;0,12062404676062;0,301788596447451
"144";144;56;2,57142857142857;0,119828937903056;0,302275633115927
"145";145;55;2,63636363636364;0,119017589039974;0,302765035409749
"146";146;54;2,7037037037037;0,118189747618986;0,30325682254159
"147";147;53;2,77358490566038;0,117345146260966;0,303751013943287
"148";148;52;2,84615384615385;0,116483501861525;0,304247629269069
"149";149;51;2,92156862745098;0,115604514612553;0,304746688398834
"150";150;50;3;0,114707866935281;0,305248211441501
"151";151;49;3,08163265306122;0,113793222315181;0,305752218738403
"152";152;48;3,16666666666667;0,112860224027767;0,306258730866758
"153";153;47;3,25531914893617;0,11190849374282;0,306767768643199
"154";154;46;3,34782608695652;0,110937629992877;0,30727935312736
