"conf.level";"n1";"n2";"m1-m2";"sd1/sd2";"p_Cohen_NH0";"p_Shieh_NH0";"p_transfoshieh_NH0";"CICohen_vs_Student";"CIShieh_vs_Welch";"CItransfoShieh_vs_Welch"
"85";0,95;100;50;2;10;0;0;0;0;0;0
"86";0,95;100;50;2;4;1e-05;0;0;0;0;0
"87";0,95;100;50;2;2;0;0;0;0;0;0
"88";0,95;100;50;2;1;0;1e-05;1e-05;0;0;0
"89";0,95;100;50;2;0,1;0,47376;0,69907;0,69907;1,000000000001e-05;0;0
"90";0,95;100;50;2;0,5;0,00014;0,00046;0,00046;0;0;0
"91";0,95;100;50;2;0,25;0,02663;0,07849;0,07849;0;1,000000000001e-05;1,000000000001e-05
"92";0,95;100;50;3;10;0;0;0;0;0;0
"93";0,95;100;50;3;4;0;0;0;0;0;0
"94";0,95;100;50;3;2;0;0;0;0;0;0
"95";0,95;100;50;3;1;0;0;0;0;0;0
"96";0,95;100;50;3;0,1;0,22771;0,4315;0,4315;9,99999999998225e-06;1,000000000001e-05;1,000000000001e-05
"97";0,95;100;50;3;0,5;0;1e-05;1e-05;0;0;0
"98";0,95;100;50;3;0,25;0,00086;0,00335;0,00335;0;0;0
"99";0,95;100;50;4;10;0;0;0;0;0;0
"100";0,95;100;50;4;4;0;0;0;0;0;0
"101";0,95;100;50;4;2;0;0;0;0;0;0
"102";0,95;100;50;4;1;0;0;0;0;0;0
"103";0,95;100;50;4;0,1;0,08117;0,20134;0,20134;0;1,99999999999922e-05;1,99999999999922e-05
"104";0,95;100;50;4;0,5;0;1e-05;1e-05;0;0;0
"105";0,95;100;50;4;0,25;7e-05;0,00039;0,00039;0;0;0
"106";0,95;20;100;0;10;0,60937;0,95367;0,95367;0;0;0
"107";0,95;20;100;0;4;0,67061;0,95307;0,95307;2,000000000002e-05;0;0
"108";0,95;20;100;0;2;0,80304;0,95366;0,95366;9,99999999995449e-06;9,99999999995449e-06;9,99999999995449e-06
"109";0,95;20;100;0;1;0,94872;0,95207;0,95207;0;0;0
"110";0,95;20;100;0;0,1;0,99999;0,95127;0,95127;0;0;0
"111";0,95;20;100;0;0,5;0,99643;0,95084;0,95084;0;0;0
"112";0,95;20;100;0;0,25;0,99975;0,95001;0,95001;0;0;0
"113";0,95;20;100;1;10;0,00148;0,02339;0,02339;0;0;0
"114";0,95;20;100;1;4;0,00153;0,02328;0,02328;0;0;0
"115";0,95;20;100;1;2;0,00319;0,02638;0,02638;0;9,99999999999959e-06;9,99999999999959e-06
"116";0,95;20;100;1;1;0,02311;0,03547;0,03547;0;1,00000000000031e-05;1,00000000000031e-05
"117";0,95;20;100;1;0,1;0,99927;0,83259;0,83259;0;2,000000000002e-05;2,000000000002e-05
"118";0,95;20;100;1;0,5;0,36928;0,09733;0,09733;1,000000000001e-05;0;0
"119";0,95;20;100;1;0,25;0,94261;0,40952;0,40952;9,99999999995449e-06;0;0
"120";0,95;20;100;2;10;0;0,00023;0,00023;0;0;0
"121";0,95;20;100;2;4;3e-05;0,00021;0,00021;0;0;0
"122";0,95;20;100;2;2;0;0,00024;0,00024;0;0;0
"123";0,95;20;100;2;1;5e-05;3e-04;3e-04;0;0;0
"124";0,95;20;100;2;0,1;0,98651;0,49626;0,49626;0;1,99999999999645e-05;1,99999999999645e-05
"125";0,95;20;100;2;0,5;0,00147;0,00035;0,00035;0;0;0
"126";0,95;20;100;2;0,25;0,3118;0,0125;0,0125;4,99999999999945e-05;0;0
"127";0,95;20;100;3;10;0;7e-05;7e-05;0;0;0
"128";0,95;20;100;3;4;0;3e-05;3e-05;0;0;0
"129";0,95;20;100;3;2;0;3e-05;3e-05;0;0;0
"130";0,95;20;100;3;1;0;2e-05;2e-05;0;0;0
"131";0,95;20;100;3;0,1;0,89382;0,1713;0,1713;9,99999999995449e-06;0;0
"132";0,95;20;100;3;0,5;2e-05;2e-05;2e-05;0;0;0
"133";0,95;20;100;3;0,25;0,01367;0,00017;0,00017;9,99999999999959e-06;0;0
"134";0,95;20;100;4;10;1e-05;1e-05;1e-05;0;0;0
"135";0,95;20;100;4;4;0;1e-05;1e-05;0;0;0
"136";0,95;20;100;4;2;0;0;0;0;0;0
"137";0,95;20;100;4;1;0;0;0;0;0;0
"138";0,95;20;100;4;0,1;0,62459;0,033;0,033;2,99999999999745e-05;0;0
"139";0,95;20;100;4;0,5;0;1e-05;1e-05;0;0;0
"140";0,95;20;100;4;0,25;0,00065;5e-05;5e-05;0;0;0
"141";0,95;20;20;0;10;0,94587;0,95303;0,95303;0;0;0
"142";0,95;20;20;0;4;0,94749;0,95306;0,95306;0;0;0
"143";0,95;20;20;0;2;0,95022;0,95274;0,95274;0;0;0
"144";0,95;20;20;0;1;0,9526;0,95332;0,95332;9,99999999995449e-06;0;0
"145";0,95;20;20;0;0,1;0,94624;0,95289;0,95289;0;0;0
"146";0,95;20;20;0;0,5;0,95075;0,95316;0,95316;0;0;0
"147";0,95;20;20;0;0,25;0,94651;0,95165;0,95165;0;0;0
"148";0,95;20;20;1;10;0,02177;0,02452;0,02452;0;0;0
"149";0,95;20;20;1;4;0,02286;0,02561;0,02561;0;0;0
"150";0,95;20;20;1;2;0,03734;0,03968;0,03968;0;1,00000000000031e-05;1,00000000000031e-05
"151";0,95;20;20;1;1;0,13108;0,13254;0,13254;1,000000000001e-05;9,99999999998225e-06;9,99999999998225e-06
"152";0,95;20;20;1;0,1;0,92066;0,93011;0,93011;1,00000000000655e-05;0;0
"153";0,95;20;20;1;0,5;0,47354;0,48228;0,48228;1,000000000001e-05;1,000000000001e-05;1,000000000001e-05
"154";0,95;20;20;1;0,25;0,78983;0,80263;0,80263;1,00000000000655e-05;0;0
"155";0,95;20;20;2;10;0,00022;0,00026;0,00026;0;0;0
"156";0,95;20;20;2;4;0,00023;0,00023;0,00023;0;0;0
"157";0,95;20;20;2;2;0,00026;0,00029;0,00029;0;0;0
"158";0,95;20;20;2;1;0,00093;0,00097;0,00097;0;0;0
"159";0,95;20;20;2;0,1;0,83968;0,85376;0,85376;0;1,9999999999909e-05;1,9999999999909e-05
"160";0,95;20;20;2;0,5;0,03678;0,0391;0,0391;0;1,00000000000031e-05;1,00000000000031e-05
"161";0,95;20;20;2;0,25;0,40291;0,42097;0,42097;1,000000000001e-05;0;0
"162";0,95;20;20;3;10;1e-05;1e-05;1e-05;0;0;0
"163";0,95;20;20;3;4;3e-05;3e-05;3e-05;0;0;0
"164";0,95;20;20;3;2;0;2e-05;2e-05;0;0;0
"165";0,95;20;20;3;1;7e-05;8e-05;8e-05;0;0;0
"166";0,95;20;20;3;0,1;0,70457;0,72444;0,72444;0;9,99999999995449e-06;9,99999999995449e-06
"167";0,95;20;20;3;0,5;0,00178;0,00205;0,00205;0;0;0
"168";0,95;20;20;3;0,25;0,11625;0,12525;0,12525;1,000000000001e-05;0;0
"169";0,95;20;20;4;10;0;0;0;0;0;0
"170";0,95;20;20;4;4;2e-05;2e-05;2e-05;0;0;0
"171";0,95;20;20;4;2;1e-05;1e-05;1e-05;0;0;0
"172";0,95;20;20;4;1;2e-05;2e-05;2e-05;0;0;0
"173";0,95;20;20;4;0,1;0,54572;0,5683;0,5683;0;0;0
"174";0,95;20;20;4;0,5;0,00029;0,00031;0,00031;0;0;0
