"conf.level";"n1";"n2";"m1-m2";"sd1/sd2";"p_Cohen_NH0";"p_Shieh_NH0";"p_transfoshieh_NH0";"CICohen_vs_Student";"CIShieh_vs_Welch";"CItransfoShieh_vs_Welch"
"77";0,95;100;50;0;0,25;0,90366;0,96627;0,96627;0;0;0
"78";0,95;100;50;1;10;0,00031;0,00011;0,00011;0;0;0
"79";0,95;100;50;1;4;0,00045;0,00018;0,00018;0;0;0
"80";0,95;100;50;1;2;0,00037;0,00019;0,00019;0;0;0
"81";0,95;100;50;1;1;0,00071;3e-04;3e-04;0;0;0
"82";0,95;100;50;1;0,1;0,68978;0,85315;0,85315;0;1,9999999999909e-05;1,9999999999909e-05
"83";0,95;100;50;1;0,5;0,01809;0,03236;0,03236;0;0;0
"84";0,95;100;50;1;0,25;0,27406;0,45022;0,45022;0;2,000000000002e-05;2,000000000002e-05
"85";0,95;100;50;2;10;4e-05;1e-05;1e-05;0;0;0
"86";0,95;100;50;2;4;2e-05;1e-05;1e-05;0;0;0
"87";0,95;100;50;2;2;0;0;0;0;0;0
"88";0,95;100;50;2;1;2e-05;0;0;0;0;0
"89";0,95;100;50;2;0,1;0,38712;0,60125;0,60125;2,000000000002e-05;0;0
"90";0,95;100;50;2;0,5;7e-05;4e-05;4e-05;0;0;0
"91";0,95;100;50;2;0,25;0,00609;0,0206;0,0206;0;0;0
"92";0,95;100;50;3;10;1e-05;0;0;0;0;0
"93";0,95;100;50;3;4;0;0;0;0;0;0
"94";0,95;100;50;3;2;1e-05;0;0;0;0;0
"95";0,95;100;50;3;1;1e-05;0;0;0;0;0
"96";0,95;100;50;3;0,1;0,13861;0,28943;0,28943;1,000000000001e-05;0;0
"97";0,95;100;50;3;0,5;1e-05;1e-05;1e-05;0;0;0
"98";0,95;100;50;3;0,25;0,00011;0,00027;0,00027;0;0;0
"99";0,95;100;50;4;10;0;0;0;0;0;0
"100";0,95;100;50;4;4;0;0;0;0;0;0
"101";0,95;100;50;4;2;0;0;0;0;0;0
"102";0,95;100;50;4;1;0;0;0;0;0;0
"103";0,95;100;50;4;0,1;0,03107;0,08967;0,08967;0;0;0
"104";0,95;100;50;4;0,5;1e-05;1e-05;1e-05;0;0;0
"105";0,95;100;50;4;0,25;1e-05;5e-05;5e-05;0;0;0
"106";0,95;20;100;0;10;0,73473;0,92394;0,92394;2,000000000002e-05;0;0
"107";0,95;20;100;0;4;0,76897;0,92496;0,92496;0;9,99999999995449e-06;9,99999999995449e-06
"108";0,95;20;100;0;2;0,85009;0,92627;0,92627;0;1,00000000000655e-05;1,00000000000655e-05
"109";0,95;20;100;0;1;0,95744;0,93349;0,93349;0;0;0
"110";0,95;20;100;0;0,1;0,99998;0,96241;0,96241;0;0;0
"111";0,95;20;100;0;0,5;0,99663;0,94406;0,94406;0;0;0
"112";0,95;20;100;0;0,25;0,99991;0,95635;0,95635;0;0;0
"113";0,95;20;100;1;10;0,0046;0,02861;0,02861;0;0;0
"114";0,95;20;100;1;4;0,00552;0,02998;0,02998;0;0;0
"115";0,95;20;100;1;2;0,00673;0,03181;0,03181;0;0;0
"116";0,95;20;100;1;1;0,01587;0,03459;0,03459;0;1,00000000000031e-05;1,00000000000031e-05
"117";0,95;20;100;1;0,1;0,99844;0,76671;0,76671;9,99999999995449e-06;9,99999999995449e-06;9,99999999995449e-06
"118";0,95;20;100;1;0,5;0,18762;0,06568;0,06568;0;0;0
"119";0,95;20;100;1;0,25;0,86849;0,27562;0,27562;2,000000000002e-05;1,99999999999645e-05;1,99999999999645e-05
"120";0,95;20;100;2;10;2e-04;0,00111;0,00111;0;0;0
"121";0,95;20;100;2;4;2e-04;0,00106;0,00106;0;0;0
"122";0,95;20;100;2;2;0,00018;0,00113;0,00113;0;0;0
"123";0,95;20;100;2;1;0,00033;0,00143;0,00143;0;0;0
"124";0,95;20;100;2;0,1;0,96681;0,36247;0,36247;0;3,000000000003e-05;3,000000000003e-05
"125";0,95;20;100;2;0,5;0,001;0,00156;0,00156;0;0;0
"126";0,95;20;100;2;0,25;0,10722;0,00586;0,00586;0;0;0
"127";0,95;20;100;3;10;3e-05;0,00026;0,00026;0;0;0
"128";0,95;20;100;3;4;4e-05;0,00027;0,00027;0;0;0
"129";0,95;20;100;3;2;3e-05;0,00019;0,00019;0;0;0
"130";0,95;20;100;3;1;2e-05;0,00017;0,00017;0;0;0
"131";0,95;20;100;3;0,1;0,76093;0,07711;0,07711;2,000000000002e-05;0;0
"132";0,95;20;100;3;0,5;6e-05;0,00019;0,00019;0;0;0
"133";0,95;20;100;3;0,25;0,00174;0,00026;0,00026;0;0;0
"134";0,95;20;100;4;10;0;1e-05;1e-05;0;0;0
"135";0,95;20;100;4;4;0;1e-05;1e-05;0;0;0
"136";0,95;20;100;4;2;1e-05;3e-05;3e-05;0;0;0
"137";0,95;20;100;4;1;2e-05;4e-05;4e-05;0;0;0
"138";0,95;20;100;4;0,1;0,34587;0,00651;0,00651;6,00000000000045e-05;0;0
"139";0,95;20;100;4;0,5;2e-05;0,00014;0,00014;0;0;0
"140";0,95;20;100;4;0,25;0,00022;5e-05;5e-05;0;0;0
"141";0,95;20;20;0;10;0,91924;0,92402;0,92402;9,99999999995449e-06;9,99999999995449e-06;9,99999999995449e-06
"142";0,95;20;20;0;4;0,92337;0,92619;0,92619;0;0;0
"143";0,95;20;20;0;2;0,93464;0,93565;0,93565;1,00000000000655e-05;0;0
"144";0,95;20;20;0;1;0,94954;0,95014;0,95014;0;0;0
"145";0,95;20;20;0;0,1;0,96591;0,96945;0,96945;1,00000000000655e-05;1,00000000000655e-05;1,00000000000655e-05
"146";0,95;20;20;0;0,5;0,96161;0,96349;0,96349;9,99999999995449e-06;0;0
"147";0,95;20;20;0;0,25;0,96505;0,96792;0,96792;0;2,000000000002e-05;2,000000000002e-05
"148";0,95;20;20;1;10;0,02762;0,02915;0,02915;9,99999999999959e-06;0;0
"149";0,95;20;20;1;4;0,03011;0,03201;0,03201;0;0;0
"150";0,95;20;20;1;2;0,03546;0,03708;0,03708;0;0;0
"151";0,95;20;20;1;1;0,07548;0,07641;0,07641;0;0;0
"152";0,95;20;20;1;0,1;0,90772;0,91484;0,91484;9,99999999995449e-06;9,99999999995449e-06;9,99999999995449e-06
"153";0,95;20;20;1;0,5;0,33295;0,3388;0,3388;1,000000000001e-05;1,99999999999645e-05;1,99999999999645e-05
"154";0,95;20;20;1;0,25;0,72042;0,73186;0,73186;0;1,9999999999909e-05;1,9999999999909e-05
"155";0,95;20;20;2;10;0,00119;0,00127;0,00127;0;0;0
"156";0,95;20;20;2;4;0,00113;0,0012;0,0012;0;0;0
"157";0,95;20;20;2;2;0,001;0,00111;0,00111;0;0;0
"158";0,95;20;20;2;1;0,00152;0,00155;0,00155;0;0;0
"159";0,95;20;20;2;0,1;0,7924;0,80519;0,80519;0;0;0
"160";0,95;20;20;2;0,5;0,01049;0,01085;0,01085;9,99999999999959e-06;0;0
"161";0,95;20;20;2;0,25;0,25856;0,26931;0,26931;1,000000000001e-05;3,99999999999845e-05;3,99999999999845e-05
"162";0,95;20;20;3;10;0,00018;0,00022;0,00022;0;0;0
"163";0,95;20;20;3;4;0,00017;0,00018;0,00018;0;0;0
"164";0,95;20;20;3;2;0,00024;0,00028;0,00028;0;0;0
"165";0,95;20;20;3;1;0,00023;0,00026;0,00026;0;0;0
"166";0,95;20;20;3;0,1;0,61842;0,63525;0,63525;0;2,000000000002e-05;2,000000000002e-05
"167";0,95;20;20;3;0,5;0,00052;0,00056;0,00056;0;0;0
"168";0,95;20;20;3;0,25;0,03675;0,03934;0,03934;0;1,00000000000031e-05;1,00000000000031e-05
"169";0,95;20;20;4;10;5e-05;7e-05;7e-05;0;0;0
"170";0,95;20;20;4;4;0;0;0;0;0;0
"171";0,95;20;20;4;2;5e-05;7e-05;7e-05;0;0;0
"172";0,95;20;20;4;1;7e-05;7e-05;7e-05;0;0;0
"173";0,95;20;20;4;0,1;0,40965;0,42721;0,42721;3,000000000003e-05;1,99999999999645e-05;1,99999999999645e-05
"174";0,95;20;20;4;0,5;0,00015;0,00015;0,00015;0;0;0
"175";0,95;20;20;4;0,25;0,00312;0,00335;0,00335;0;0;0
"176";0,95;20;50;0;10;0,81266;0,92486;0,92486;0;1,00000000000655e-05;1,00000000000655e-05
"177";0,95;20;50;0;4;0,83639;0,92624;0,92624;0;0;0
"178";0,95;20;50;0;2;0,8842;0,92972;0,92972;9,99999999995449e-06;9,99999999995449e-06;9,99999999995449e-06
"179";0,95;20;50;0;1;0,95612;0,94033;0,94033;0;9,99999999995449e-06;9,99999999995449e-06
"180";0,95;20;50;0;0,1;0,99814;0,96653;0,96653;0;9,99999999995449e-06;9,99999999995449e-06
"181";0,95;20;50;0;0,5;0,99017;0,9548;0,9548;0;0;0
"182";0,95;20;50;0;0,25;0,99659;0,96331;0,96331;0;0;0
"183";0,95;20;50;1;10;0,00942;0,02978;0,02978;0;0;0
"184";0,95;20;50;1;4;0,00989;0,02983;0,02983;0;0;0
"185";0,95;20;50;1;2;0,01144;0,03127;0,03127;0;0;0
"186";0,95;20;50;1;1;0,02822;0,04376;0,04376;0;0;0
"187";0,95;20;50;1;0,1;0,98374;0,85282;0,85282;0;1,00000000000655e-05;1,00000000000655e-05
"188";0,95;20;50;1;0,5;0,23685;0,12535;0,12535;1,000000000001e-05;0;0
