"conf.level";"n1";"n2";"m1-m2";"sd1/sd2";"p_Cohen_NH0";"p_Shieh_NH0";"p_transfoshieh_NH0";"CICohen_vs_Student";"CIShieh_vs_Welch";"CItransfoShieh_vs_Welch"
"1";0,95;100;100;0;10;0,92563;0,9264;0,9264;9,99999999995449e-06;0;0
"2";0,95;100;100;0;4;0,92697;0,92762;0,92762;9,99999999995449e-06;0;0
"3";0,95;100;100;0;2;0,93614;0,93629;0,93629;0;0;0
"4";0,95;100;100;0;1;0,95089;0,95093;0,95093;0;0;0
"5";0,95;100;100;0;0,1;0,96709;0,96768;0,96768;0;9,99999999995449e-06;9,99999999995449e-06
"6";0,95;100;100;0;0,5;0,96159;0,96191;0,96191;0;0;0
"7";0,95;100;100;0;0,25;0,96633;0,9669;0,9669;0;0;0
"8";0,95;100;100;1;10;0;0;0;0;0;0
"9";0,95;100;100;1;4;0;0;0;0;0;0
"10";0,95;100;100;1;2;1e-05;1e-05;1e-05;0;0;0
"11";0,95;100;100;1;1;0;0;0;0;0;0
"12";0,95;100;100;1;0,1;0,77527;0,77809;0,77809;1,00000000000655e-05;9,99999999995449e-06;9,99999999995449e-06
"13";0,95;100;100;1;0,5;0,00082;0,00082;0,00082;0;0;0
"14";0,95;100;100;1;0,25;0,18192;0,18352;0,18352;0;0;0
"15";0,95;100;100;2;10;0;0;0;0;0;0
"16";0,95;100;100;2;4;0;0;0;0;0;0
"17";0,95;100;100;2;2;0;0;0;0;0;0
"18";0,95;100;100;2;1;0;0;0;0;0;0
"19";0,95;100;100;2;0,1;0,34845;0,35144;0,35144;9,99999999995449e-06;9,99999999995449e-06;9,99999999995449e-06
"20";0,95;100;100;2;0,5;0;0;0;0;0;0
"21";0,95;100;100;2;0,25;5e-05;5e-05;5e-05;0;0;0
"22";0,95;100;100;3;10;0;0;0;0;0;0
"23";0,95;100;100;3;4;0;0;0;0;0;0
"24";0,95;100;100;3;2;0;0;0;0;0;0
"25";0,95;100;100;3;1;0;0;0;0;0;0
"26";0,95;100;100;3;0,1;0,05202;0,05293;0,05293;0;0;0
"27";0,95;100;100;3;0,5;0;0;0;0;0;0
"28";0,95;100;100;3;0,25;0;0;0;0;0;0
"29";0,95;100;100;4;10;0;0;0;0;0;0
"30";0,95;100;100;4;4;0;0;0;0;0;0
"31";0,95;100;100;4;2;0;0;0;0;0;0
"32";0,95;100;100;4;1;0;0;0;0;0;0
"33";0,95;100;100;4;0,1;0,00177;0,00183;0,00183;0;0;0
"34";0,95;100;100;4;0,5;0;0;0;0;0;0
"35";0,95;100;100;4;0,25;0;0;0;0;0;0
"36";0,95;100;20;0;10;0,99784;0,92778;0,92778;0;0;0
"37";0,95;100;20;0;4;0,99568;0,94168;0,94168;0;0;0
"38";0,95;100;20;0;2;0,98404;0,96013;0,96013;1,00000000000655e-05;0;0
"39";0,95;100;20;0;1;0,94105;0,97291;0,97291;0;1,00000000000655e-05;1,00000000000655e-05
"40";0,95;100;20;0;0,1;0,80157;0,97806;0,97806;9,99999999995449e-06;0;0
"41";0,95;100;20;0;0,5;0,87163;0,97752;0,97752;0;0;0
"42";0,95;100;20;0;0,25;0,82429;0,97903;0,97903;0;0;0
"43";0,95;100;20;1;10;0,00046;0;0;0;0;0
"44";0,95;100;20;1;4;0,00043;1e-05;1e-05;0;0;0
"45";0,95;100;20;1;2;0,00089;1e-05;1e-05;0;0;0
"46";0,95;100;20;1;1;0,0075;0,00088;0,00088;9,99999999999959e-06;0;0
"47";0,95;100;20;1;0,1;0,64623;0,93856;0,93856;2,99999999999745e-05;9,99999999995449e-06;9,99999999995449e-06
"48";0,95;100;20;1;0,5;0,10906;0,25264;0,25264;0;9,99999999995449e-06;9,99999999995449e-06
"49";0,95;100;20;1;0,25;0,38922;0,77539;0,77539;0;0;0
"50";0,95;100;20;2;10;0;0;0;0;0;0
"51";0,95;100;20;2;4;0;0;0;0;0;0
"52";0,95;100;20;2;2;0;0;0;0;0;0
"53";0,95;100;20;2;1;0;0;0;0;0;0
"54";0,95;100;20;2;0,1;0,44276;0,84781;0,84781;0;1,9999999999909e-05;1,9999999999909e-05
"55";0,95;100;20;2;0,5;5e-05;6e-05;6e-05;0;0;0
"56";0,95;100;20;2;0,25;0,04437;0,23196;0,23196;0;1,99999999999922e-05;1,99999999999922e-05
"57";0,95;100;20;3;10;0;0;0;0;0;0
"58";0,95;100;20;3;4;0;0;0;0;0;0
"59";0,95;100;20;3;2;0;0;0;0;0;0
"60";0,95;100;20;3;1;0;0;0;0;0;0
"61";0,95;100;20;3;0,1;0,247;0,68458;0,68458;0;9,99999999995449e-06;9,99999999995449e-06
"62";0,95;100;20;3;0,5;0;0;0;0;0;0
"63";0,95;100;20;3;0,25;0,00032;0,0056;0,0056;0;0;0
"64";0,95;100;20;4;10;0;0;0;0;0;0
"65";0,95;100;20;4;4;0;0;0;0;0;0
"66";0,95;100;20;4;2;0;0;0;0;0;0
"67";0,95;100;20;4;1;0;0;0;0;0;0
"68";0,95;100;20;4;0,1;0,10098;0,45602;0,45602;9,99999999999612e-06;1,99999999999645e-05;1,99999999999645e-05
"69";0,95;100;20;4;0,5;0;0;0;0;0;0
"70";0,95;100;20;4;0,25;0;1e-05;1e-05;0;0;0
"71";0,95;100;50;0;10;0,97621;0,92679;0,92679;0;0;0
"72";0,95;100;50;0;4;0,9735;0,93315;0,93315;0;0;0
"73";0,95;100;50;0;2;0,96578;0,94482;0,94482;0;9,99999999995449e-06;9,99999999995449e-06
"74";0,95;100;50;0;1;0,94622;0,96017;0,96017;0;9,99999999995449e-06;9,99999999995449e-06
"75";0,95;100;50;0;0,1;0,90521;0,9717;0,9717;0;0;0
"76";0,95;100;50;0;0,5;0,9241;0,9685;0,9685;0;1,00000000000655e-05;1,00000000000655e-05
"77";0,95;100;50;0;0,25;0,91042;0,9719;0,9719;9,99999999995449e-06;9,99999999995449e-06;9,99999999995449e-06
"78";0,95;100;50;1;10;2e-05;0;0;0;0;0
"79";0,95;100;50;1;4;3e-05;1e-05;1e-05;0;0;0
"80";0,95;100;50;1;2;2e-05;0;0;0;0;0
"81";0,95;100;50;1;1;7e-05;1e-05;1e-05;0;0;0
"82";0,95;100;50;1;0,1;0,708;0,87425;0,87425;0;0;0
"83";0,95;100;50;1;0,5;0,01147;0,01884;0,01884;0;0;0
"84";0,95;100;50;1;0,25;0,27236;0,46556;0,46556;0;2,99999999999745e-05;2,99999999999745e-05
"85";0,95;100;50;2;10;0;0;0;0;0;0
"86";0,95;100;50;2;4;0;0;0;0;0;0
"87";0,95;100;50;2;2;0;0;0;0;0;0
"88";0,95;100;50;2;1;0;0;0;0;0;0
