"conf.level";"n1";"n2";"m1-m2";"sd1/sd2";"p_Cohen_NH0";"p_Shieh_NH0";"p_transfoshieh_NH0";"CICohen_vs_Student";"CIShieh_vs_Welch";"CItransfoShieh_vs_Welch"
"1";0,95;100;100;0;10;0,94587;0,94719;0,94719;0;0;0
"2";0,95;100;100;0;4;0,94741;0,94839;0,94839;0;0;0
"3";0,95;100;100;0;2;0,94869;0,94924;0,94924;0;0;0
"4";0,95;100;100;0;1;0,95149;0,95163;0,95163;0;0;0
"5";0,95;100;100;0;0,1;0,94655;0,94778;0,94778;0;0;0
"6";0,95;100;100;0;0,5;0,94924;0,94973;0,94973;0;0;0
"7";0,95;100;100;0;0,25;0,94802;0,94894;0,94894;0;0;0
"8";0,95;100;100;1;10;0,00027;0,00029;0,00029;0;0;0
"9";0,95;100;100;1;4;0,00023;0,00023;0,00023;0;0;0
"10";0,95;100;100;1;2;0,00029;0,00029;0,00029;0;0;0
"11";0,95;100;100;1;1;0,00042;0,00043;0,00043;0;0;0
"12";0,95;100;100;1;0,1;0,85338;0,85615;0,85615;0;0;0
"13";0,95;100;100;1;0,5;0,00496;0,00498;0,00498;0;0;0
"14";0,95;100;100;1;0,25;0,292;0,29539;0,29539;0;0;0
"15";0,95;100;100;2;10;0;0;0;0;0;0
"16";0,95;100;100;2;4;1e-05;1e-05;1e-05;0;0;0
"17";0,95;100;100;2;2;1e-05;2e-05;2e-05;0;0;0
"18";0,95;100;100;2;1;1e-05;1e-05;1e-05;0;0;0
"19";0,95;100;100;2;0,1;0,4774;0,48268;0,48268;1,99999999999645e-05;2,000000000002e-05;2,000000000002e-05
"20";0,95;100;100;2;0,5;2e-05;2e-05;2e-05;0;0;0
"21";0,95;100;100;2;0,25;0,00098;0,00103;0,00103;0;0;0
"22";0,95;100;100;3;10;0;0;0;0;0;0
"23";0,95;100;100;3;4;0;0;0;0;0;0
"24";0,95;100;100;3;2;0;0;0;0;0;0
"25";0,95;100;100;3;1;2e-05;2e-05;2e-05;0;0;0
"26";0,95;100;100;3;0,1;0,12056;0,12329;0,12329;3,99999999999984e-05;9,99999999999612e-06;9,99999999999612e-06
"27";0,95;100;100;3;0,5;0;0;0;0;0;0
"28";0,95;100;100;3;0,25;1e-05;2e-05;2e-05;0;0;0
"29";0,95;100;100;4;10;0;0;0;0;0;0
"30";0,95;100;100;4;4;0;0;0;0;0;0
"31";0,95;100;100;4;2;0;0;0;0;0;0
"32";0,95;100;100;4;1;0;0;0;0;0;0
"33";0,95;100;100;4;0,1;0,01214;0,01247;0,01247;0;0;0
"34";0,95;100;100;4;0,5;0;0;0;0;0;0
"35";0,95;100;100;4;0,25;0;0;0;0;0;0
