"conf.level";"n1";"n2";"m1-m2";"sd1/sd2";"p_Cohen_NH0";"p_Shieh_NH0";"p_transfoshieh_NH0";"CICohen_vs_Student";"CIShieh_vs_Welch";"CItransfoShieh_vs_Welch"
"1";0,95;100;100;0;10;0,95044;0,95124;0,95124;0;0;0
"2";0,95;100;100;0;4;0,94998;0,9506;0,9506;1,00000000000655e-05;0;0
"3";0,95;100;100;0;2;0,95153;0,95187;0,95187;9,99999999995449e-06;0;0
"4";0,95;100;100;0;1;0,95008;0,9501;0,9501;0;0;0
"5";0,95;100;100;0;0,1;0,95003;0,95075;0,95075;0;0;0
"6";0,95;100;100;0;0,5;0,95118;0,95151;0,95151;0;0;0
"7";0,95;100;100;0;0,25;0,94902;0,94967;0,94967;0;1,00000000000655e-05;1,00000000000655e-05
"8";0,95;100;100;1;10;4e-05;4e-05;4e-05;0;0;0
"9";0,95;100;100;1;4;5e-05;5e-05;5e-05;0;0;0
"10";0,95;100;100;1;2;4e-05;4e-05;4e-05;0;0;0
"11";0,95;100;100;1;1;7e-05;7e-05;7e-05;0;0;0
"12";0,95;100;100;1;0,1;0,72619;0,72858;0,72858;2,99999999999745e-05;2,000000000002e-05;2,000000000002e-05
"13";0,95;100;100;1;0,5;0,00481;0,00483;0,00483;0;0;0
"14";0,95;100;100;1;0,25;0,21222;0,2139;0,2139;0;1,000000000001e-05;1,000000000001e-05
"15";0,95;100;100;2;10;0;0;0;0;0;0
"16";0,95;100;100;2;4;0;0;0;0;0;0
"17";0,95;100;100;2;2;0;0;0;0;0;0
"18";0,95;100;100;2;1;0;0;0;0;0;0
"19";0,95;100;100;2;0,1;0,35243;0,35497;0,35497;1,000000000001e-05;1,000000000001e-05;1,000000000001e-05
"20";0,95;100;100;2;0,5;6e-05;6e-05;6e-05;0;0;0
"21";0,95;100;100;2;0,25;0,00258;0,00261;0,00261;0;0;0
"22";0,95;100;100;3;10;0;0;0;0;0;0
"23";0,95;100;100;3;4;1e-05;1e-05;1e-05;0;0;0
"24";0,95;100;100;3;2;0;0;0;0;0;0
"25";0,95;100;100;3;1;0;0;0;0;0;0
"26";0,95;100;100;3;0,1;0,09261;0,09379;0,09379;0;0;0
"27";0,95;100;100;3;0,5;1e-05;1e-05;1e-05;0;0;0
"28";0,95;100;100;3;0,25;7e-05;7e-05;7e-05;0;0;0
"29";0,95;100;100;4;10;0;0;0;0;0;0
"30";0,95;100;100;4;4;0;0;0;0;0;0
"31";0,95;100;100;4;2;0;0;0;0;0;0
"32";0,95;100;100;4;1;0;0;0;0;0;0
"33";0,95;100;100;4;0,1;0,01495;0,01526;0,01526;0;0;0
"34";0,95;100;100;4;0,5;0;0;0;0;0;0
"35";0,95;100;100;4;0,25;7e-05;7e-05;7e-05;0;0;0
"36";0,95;100;20;0;10;0,99982;0,94981;0,94981;0;0;0
"37";0,95;100;20;0;4;0,99933;0,95041;0,95041;0;0;0
"38";0,95;100;20;0;2;0,99311;0,95068;0,95068;0;9,99999999995449e-06;9,99999999995449e-06
"39";0,95;100;20;0;1;0,94937;0,95092;0,95092;0;0;0
"40";0,95;100;20;0;0,1;0,76249;0,95139;0,95139;0;0;0
"41";0,95;100;20;0;0,5;0,86079;0,95226;0,95226;0;9,99999999995449e-06;9,99999999995449e-06
"42";0,95;100;20;0;0,25;0,79099;0,95194;0,95194;0;0;0
"43";0,95;100;20;1;10;0,00066;4e-05;4e-05;0;0;0
"44";0,95;100;20;1;4;0,00071;2e-05;2e-05;0;0;0
"45";0,95;100;20;1;2;0,00142;0,00051;0,00051;0;0;0
"46";0,95;100;20;1;1;0,0121;0,02059;0,02059;9,99999999999959e-06;0;0
"47";0,95;100;20;1;0,1;0,59683;0,8806;0,8806;0;1,00000000000655e-05;1,00000000000655e-05
"48";0,95;100;20;1;0,5;0,12844;0,28408;0,28408;1,99999999999922e-05;1,000000000001e-05;1,000000000001e-05
"49";0,95;100;20;1;0,25;0,36816;0,67944;0,67944;1,000000000001e-05;0;0
"50";0,95;100;20;2;10;3e-05;0;0;0;0;0
"51";0,95;100;20;2;4;2e-05;0;0;0;0;0
"52";0,95;100;20;2;2;4e-05;1e-05;1e-05;0;0;0
"53";0,95;100;20;2;1;8e-05;0,00038;0,00038;0;0;0
"54";0,95;100;20;2;0,1;0,41659;0,757;0,757;1,000000000001e-05;2,000000000002e-05;2,000000000002e-05
"55";0,95;100;20;2;0,5;0,00275;0,0155;0,0155;0;0;0
"56";0,95;100;20;2;0,25;0,08089;0,27391;0,27391;0;0;0
"57";0,95;100;20;3;10;1e-05;0;0;0;0;0
"58";0,95;100;20;3;4;1e-05;1e-05;1e-05;0;0;0
"59";0,95;100;20;3;2;1e-05;1e-05;1e-05;0;0;0
"60";0,95;100;20;3;1;1e-05;3e-05;3e-05;0;0;0
"61";0,95;100;20;3;0,1;0,25423;0,59403;0,59403;1,000000000001e-05;1,9999999999909e-05;1,9999999999909e-05
"62";0,95;100;20;3;0,5;3e-04;0,00158;0,00158;0;0;0
"63";0,95;100;20;3;0,25;0,01137;0,06577;0,06577;0;0;0
"64";0,95;100;20;4;10;0;0;0;0;0;0
"65";0,95;100;20;4;4;0;0;0;0;0;0
"66";0,95;100;20;4;2;0;0;0;0;0;0
"67";0,95;100;20;4;1;1e-05;2e-05;2e-05;0;0;0
"68";0,95;100;20;4;0,1;0,13955;0,42088;0,42088;0;0;0
"69";0,95;100;20;4;0,5;5e-05;0,00036;0,00036;0;0;0
"70";0,95;100;20;4;0,25;0,00204;0,01485;0,01485;0;9,99999999999959e-06;9,99999999999959e-06
"71";0,95;100;50;0;10;0,98955;0,95024;0,95024;0;0;0
"72";0,95;100;50;0;4;0,98732;0,95064;0,95064;0;1,00000000000655e-05;1,00000000000655e-05
"73";0,95;100;50;0;2;0,97656;0,94967;0,94967;9,99999999995449e-06;0;0
"74";0,95;100;50;0;1;0,95189;0,95201;0,95201;0;0;0
"75";0,95;100;50;0;0,1;0,87571;0,95093;0,95093;0;0;0
"76";0,95;100;50;0;0,5;0,91023;0,95028;0,95028;2,000000000002e-05;0;0
"77";0,95;100;50;0;0,25;0,88596;0,95168;0,95168;0;0;0
"78";0,95;100;50;1;10;9e-05;3e-05;3e-05;0;0;0
"79";0,95;100;50;1;4;0,00012;2e-05;2e-05;0;0;0
"80";0,95;100;50;1;2;9e-05;5e-05;5e-05;0;0;0
"81";0,95;100;50;1;1;0,00048;0,00072;0,00072;0;0;0
"82";0,95;100;50;1;0,1;0,66064;0,81705;0,81705;2,000000000002e-05;0;0
"83";0,95;100;50;1;0,5;0,02805;0,05462;0,05462;0;0;0
"84";0,95;100;50;1;0,25;0,28559;0,44586;0,44586;2,000000000002e-05;1,99999999999645e-05;1,99999999999645e-05
"85";0,95;100;50;2;10;0;0;0;0;0;0
"86";0,95;100;50;2;4;1e-05;1e-05;1e-05;0;0;0
"87";0,95;100;50;2;2;1e-05;0;0;0;0;0
"88";0,95;100;50;2;1;1e-05;3e-05;3e-05;0;0;0
"89";0,95;100;50;2;0,1;0,3856;0,57551;0,57551;1,000000000001e-05;2,000000000002e-05;2,000000000002e-05
"90";0,95;100;50;2;0,5;0,00018;0,00053;0,00053;0;0;0
"91";0,95;100;50;2;0,25;0,01794;0,04514;0,04514;0;9,99999999999612e-06;9,99999999999612e-06
"92";0,95;100;50;3;10;0;0;0;0;0;0
"93";0,95;100;50;3;4;0;0;0;0;0;0
"94";0,95;100;50;3;2;1e-05;1e-05;1e-05;0;0;0
"95";0,95;100;50;3;1;0;0;0;0;0;0
"96";0,95;100;50;3;0,1;0,1677;0,30982;0,30982;0;1,000000000001e-05;1,000000000001e-05
"97";0,95;100;50;3;0,5;2e-05;5e-05;5e-05;0;0;0
"98";0,95;100;50;3;0,25;0,00077;0,00258;0,00258;0;0;0
"99";0,95;100;50;4;10;0;0;0;0;0;0
"100";0,95;100;50;4;4;0;0;0;0;0;0
"101";0,95;100;50;4;2;0;0;0;0;0;0
"102";0,95;100;50;4;1;0;1e-05;1e-05;0;0;0
"103";0,95;100;50;4;0,1;0,05409;0,12324;0,12324;0;2,00000000000061e-05;2,00000000000061e-05
"104";0,95;100;50;4;0,5;1e-05;3e-05;3e-05;0;0;0
"105";0,95;100;50;4;0,25;0,00015;0,00044;0,00044;0;0;0
"106";0,95;20;100;0;10;0,75951;0,95148;0,95148;1,00000000000655e-05;0;0
"107";0,95;20;100;0;4;0,79428;0,95043;0,95043;0;0;0
"108";0,95;20;100;0;2;0,86046;0,95069;0,95069;9,99999999995449e-06;1,00000000000655e-05;1,00000000000655e-05
"109";0,95;20;100;0;1;0,9501;0,95014;0,95014;0;0;0
"110";0,95;20;100;0;0,1;0,99987;0,94987;0,94987;0;0;0
"111";0,95;20;100;0;0,5;0,99236;0,95017;0,95017;0;9,99999999995449e-06;9,99999999995449e-06
"112";0,95;20;100;0;0,25;0,99926;0,95165;0,95165;0;0;0
"113";0,95;20;100;1;10;0,00176;0,0148;0,0148;0;0;0
"114";0,95;20;100;1;4;0,00175;0,01453;0,01453;0;0;0
"115";0,95;20;100;1;2;0,00262;0,01581;0,01581;0;9,99999999999959e-06;9,99999999999959e-06
"116";0,95;20;100;1;1;0,0123;0,0201;0,0201;0;0;0
"117";0,95;20;100;1;0,1;0,9944;0,73931;0,73931;0;4,000000000004e-05;4,000000000004e-05
"118";0,95;20;100;1;0,5;0,21076;0,05647;0,05647;1,99999999999922e-05;0;0
"119";0,95;20;100;1;0,25;0,83083;0,28965;0,28965;1,9999999999909e-05;2,000000000002e-05;2,000000000002e-05
"120";0,95;20;100;2;10;7e-05;0,00045;0,00045;0;0;0
"121";0,95;20;100;2;4;4e-05;0,00029;0,00029;0;0;0
"122";0,95;20;100;2;2;5e-05;0,00041;0,00041;0;0;0
"123";0,95;20;100;2;1;5e-05;0,00029;0,00029;0;0;0
"124";0,95;20;100;2;0,1;0,93744;0,36511;0,36511;1,00000000000655e-05;0;0
"125";0,95;20;100;2;0,5;0,0014;0,00055;0,00055;0;0;0
"126";0,95;20;100;2;0,25;0,14461;0,00681;0,00681;1,99999999999922e-05;0;0
"127";0,95;20;100;3;10;0;3e-05;3e-05;0;0;0
"128";0,95;20;100;3;4;2e-05;1e-04;1e-04;0;0;0
"129";0,95;20;100;3;2;3e-05;5e-05;5e-05;0;0;0
"130";0,95;20;100;3;1;5e-05;9e-05;9e-05;0;0;0
"131";0,95;20;100;3;0,1;0,71422;0,10254;0,10254;4,99999999999945e-05;0;0
