"conf.level";"n1";"n2";"m1-m2";"sd1/sd2";"p_Cohen_NH0";"p_Shieh_NH0";"p_transfoshieh_NH0";"CICohen_vs_Student";"CIShieh_vs_Welch";"CItransfoShieh_vs_Welch"
"1";0,95;100;100;0;10;0,97215;0,97276;0,97276;0;0;0
"2";0,95;100;100;0;4;0,97047;0,97099;0,97099;0;0;0
"3";0,95;100;100;0;2;0,96609;0,9664;0,9664;0;0;0
"4";0,95;100;100;0;1;0,95002;0,95009;0,95009;0;9,99999999995449e-06;9,99999999995449e-06
"5";0,95;100;100;0;0,1;0,91241;0,91324;0,91324;1,00000000000655e-05;0;0
"6";0,95;100;100;0;0,5;0,92857;0,92865;0,92865;0;9,99999999995449e-06;9,99999999995449e-06
"7";0,95;100;100;0;0,25;0,9173;0,91786;0,91786;2,000000000002e-05;9,99999999995449e-06;9,99999999995449e-06
"8";0,95;100;100;1;10;0;0;0;0;0;0
"9";0,95;100;100;1;4;0;0;0;0;0;0
"10";0,95;100;100;1;2;0;0;0;0;0;0
"11";0,95;100;100;1;1;0;0;0;0;0;0
"12";0,95;100;100;1;0,1;0,68712;0,68915;0,68915;2,99999999999745e-05;0;0
"13";0,95;100;100;1;0,5;0,01014;0,01026;0,01026;0;0;0
"14";0,95;100;100;1;0,25;0,25017;0,25163;0,25163;0;0;0
"15";0,95;100;100;2;10;0;0;0;0;0;0
"16";0,95;100;100;2;4;0;0;0;0;0;0
"17";0,95;100;100;2;2;0;0;0;0;0;0
"18";0,95;100;100;2;1;0;0;0;0;0;0
"19";0,95;100;100;2;0,1;0,3735;0,37606;0,37606;0;0;0
"20";0,95;100;100;2;0,5;0;0;0;0;0;0
"21";0,95;100;100;2;0,25;0,00664;0,00679;0,00679;0;0;0
"22";0,95;100;100;3;10;0;0;0;0;0;0
"23";0,95;100;100;3;4;0;0;0;0;0;0
"24";0,95;100;100;3;2;0;0;0;0;0;0
"25";0,95;100;100;3;1;0;0;0;0;0;0
"26";0,95;100;100;3;0,1;0,1367;0,13825;0,13825;9,99999999998225e-06;0;0
