"conf.level";"n1";"n2";"m1-m2";"sd1/sd2";"p_Cohen_NH0";"p_Shieh_NH0";"p_transfoshieh_NH0";"CICohen_vs_Student";"CIShieh_vs_Welch";"CItransfoShieh_vs_Welch"
"83";0,95;100;50;1;0,5;0,02785;0,05525;0,05525;0;0;0
"84";0,95;100;50;1;0,25;0,28769;0,44957;0,44957;0;0;0
"85";0,95;100;50;2;10;0;0;0;0;0;0
"86";0,95;100;50;2;4;0;0;0;0;0;0
"87";0,95;100;50;2;2;0;0;0;0;0;0
"88";0,95;100;50;2;1;0;0;0;0;0;0
"89";0,95;100;50;2;0,1;0,39536;0,58452;0,58452;1,000000000001e-05;2,000000000002e-05;2,000000000002e-05
"90";0,95;100;50;2;0,5;2e-05;0,00016;0,00016;0;0;0
"91";0,95;100;50;2;0,25;0,01587;0,04275;0,04275;0;1,00000000000031e-05;1,00000000000031e-05
"92";0,95;100;50;3;10;0;0;0;0;0;0
"93";0,95;100;50;3;4;0;0;0;0;0;0
"94";0,95;100;50;3;2;0;0;0;0;0;0
"95";0,95;100;50;3;1;0;0;0;0;0;0
"96";0,95;100;50;3;0,1;0,16852;0,31415;0,31415;0;2,99999999999745e-05;2,99999999999745e-05
"97";0,95;100;50;3;0,5;0;1e-05;1e-05;0;0;0
"98";0,95;100;50;3;0,25;0,00056;0,00164;0,00164;0;0;0
"99";0,95;100;50;4;10;0;0;0;0;0;0
"100";0,95;100;50;4;4;0;0;0;0;0;0
"101";0,95;100;50;4;2;0;0;0;0;0;0
"102";0,95;100;50;4;1;0;0;0;0;0;0
"103";0,95;100;50;4;0,1;0,05305;0,12753;0,12753;0;1,000000000001e-05;1,000000000001e-05
"104";0,95;100;50;4;0,5;0;0;0;0;0;0
"105";0,95;100;50;4;0,25;8e-05;0,00023;0,00023;0;0;0
"106";0,95;20;100;0;10;0,76633;0,95104;0,95104;0;9,99999999995449e-06;9,99999999995449e-06
"107";0,95;20;100;0;4;0,79336;0,95073;0,95073;0;0;0
"108";0,95;20;100;0;2;0,85875;0,9504;0,9504;0;1,00000000000655e-05;1,00000000000655e-05
"109";0,95;20;100;0;1;0,94847;0,9492;0,9492;0;0;0
"110";0,95;20;100;0;0,1;0,99982;0,94997;0,94997;0;0;0
"111";0,95;20;100;0;0,5;0,9929;0,95037;0,95037;0;0;0
"112";0,95;20;100;0;0,25;0,99926;0,9501;0,9501;0;0;0
"113";0,95;20;100;1;10;0,00113;0,01192;0,01192;0;0;0
"114";0,95;20;100;1;4;0,00105;0,01172;0,01172;0;9,99999999999959e-06;9,99999999999959e-06
"115";0,95;20;100;1;2;0,0018;0,01246;0,01246;0;0;0
"116";0,95;20;100;1;1;0,01039;0,01648;0,01648;9,99999999999959e-06;0;0
"117";0,95;20;100;1;0,1;0,9947;0,74468;0,74468;0;2,99999999999745e-05;2,99999999999745e-05
"118";0,95;20;100;1;0,5;0,21618;0,05506;0,05506;1,000000000001e-05;9,99999999999612e-06;9,99999999999612e-06
"119";0,95;20;100;1;0,25;0,83748;0,29519;0,29519;2,000000000002e-05;1,000000000001e-05;1,000000000001e-05
"120";0,95;20;100;2;10;1e-05;0,00013;0,00013;0;0;0
"121";0,95;20;100;2;4;1e-05;0,00012;0,00012;0;0;0
"122";0,95;20;100;2;2;1e-05;0,00016;0,00016;0;0;0
"123";0,95;20;100;2;1;0;1e-04;1e-04;0;0;0
"124";0,95;20;100;2;0,1;0,94174;0,37521;0,37521;0;1,000000000001e-05;1,000000000001e-05
"125";0,95;20;100;2;0,5;0,00049;0,00015;0,00015;0;0;0
"126";0,95;20;100;2;0,25;0,14431;0,00551;0,00551;1,99999999999922e-05;0;0
"127";0,95;20;100;3;10;0;3e-05;3e-05;0;0;0
"128";0,95;20;100;3;4;2e-05;4e-05;4e-05;0;0;0
"129";0,95;20;100;3;2;1e-05;2e-05;2e-05;0;0;0
"130";0,95;20;100;3;1;0;2e-05;2e-05;0;0;0
"131";0,95;20;100;3;0,1;0,72666;0,10538;0,10538;0;9,99999999999612e-06;9,99999999999612e-06
"132";0,95;20;100;3;0,5;2e-05;0;0;0;0;0
"133";0,95;20;100;3;0,25;0,00341;6e-05;6e-05;0;0;0
"134";0,95;20;100;4;10;0;0;0;0;0;0
"135";0,95;20;100;4;4;0;1e-05;1e-05;0;0;0
"136";0,95;20;100;4;2;0;2e-05;2e-05;0;0;0
"137";0,95;20;100;4;1;0;1e-05;1e-05;0;0;0
"138";0,95;20;100;4;0,1;0,37666;0,01632;0,01632;2,000000000002e-05;0;0
"139";0,95;20;100;4;0,5;1e-05;0;0;0;0;0
"140";0,95;20;100;4;0,25;0,00025;2e-05;2e-05;0;0;0
"141";0,95;20;20;0;10;0,94677;0,95076;0,95076;0;0;0
"142";0,95;20;20;0;4;0,94732;0,95033;0,95033;0;9,99999999995449e-06;9,99999999995449e-06
"143";0,95;20;20;0;2;0,94889;0,95019;0,95019;0;0;0
"144";0,95;20;20;0;1;0,95052;0,95095;0,95095;0;0;0
"145";0,95;20;20;0;0,1;0,94785;0,95197;0,95197;9,99999999995449e-06;0;0
"146";0,95;20;20;0;0,5;0,94889;0,9505;0,9505;0;0;0
"147";0,95;20;20;0;0,25;0,94708;0,95024;0,95024;1,00000000000655e-05;0;0
"148";0,95;20;20;1;10;0,01075;0,01184;0,01184;0;0;0
"149";0,95;20;20;1;4;0,01213;0,01305;0,01305;0;1,00000000000013e-05;1,00000000000013e-05
"150";0,95;20;20;1;2;0,01962;0,02045;0,02045;0;0;0
"151";0,95;20;20;1;1;0,07448;0,07507;0,07507;0;0;0
"152";0,95;20;20;1;0,1;0,87616;0,88373;0,88373;1,00000000000655e-05;1,00000000000655e-05;1,00000000000655e-05
"153";0,95;20;20;1;0,5;0,3513;0,35658;0,35658;1,000000000001e-05;1,000000000001e-05;1,000000000001e-05
"154";0,95;20;20;1;0,25;0,69068;0,70143;0,70143;1,9999999999909e-05;0;0
"155";0,95;20;20;2;10;7e-05;8e-05;8e-05;0;0;0
"156";0,95;20;20;2;4;1e-04;0,00012;0,00012;0;0;0
"157";0,95;20;20;2;2;0,00012;0,00012;0,00012;0;0;0
"158";0,95;20;20;2;1;4e-04;0,00041;0,00041;0;0;0
"159";0,95;20;20;2;0,1;0,75315;0,76467;0,76467;0;2,99999999999745e-05;2,99999999999745e-05
"160";0,95;20;20;2;0,5;0,01925;0,01986;0,01986;0;0;0
