"n1";"n2";"m1";"m2";"var1";"var2";"skew";"kurt";"Average_m1";"Stdev_m1";"Average_m2";"Stdev_m2";"Average_sd1";"Stdev_sd1";"Average_sd2";"Stdev_sd2";"Average_skew1";"Stdev_skew1";"Average_skew2";"Stdev_skew2";"Average_kurt1";"Stdev_kurt1";"Average_kurt2";"Stdev_kurt2"
"1";100;100;0;0;1;0,01;0;95,75;-0,000146084162757204;0,0999460263163451;-1,48477879348325e-05;0,00997857246667574;1,00103209208927;0,485197915284596;0,00999288152634186;0,00443202648149482;3,93966139804735;6,0722695881258;3,91234599543112;5,98603538529171;0,00117328723216084;1,0919101097982;-0,00230373468658202;1,08227059477422
"2";100;100;0;0;1;0,0625;0;95,75;0,000278086406207212;0,100068717083729;1,71113352396522e-05;0,0249843735286863;1,00430093426266;0,630131495632243;0,0626470513123591;0,0299444798429449;3,99077092574884;6,15085690805599;3,97477332444688;6,16965591660299;0,00564629797734927;1,10222972844128;-0,00361938453063514;1,10002284376189
"3";100;100;0;0;1;0,25;0;95,75;-3,0225967203593e-05;0,100276362696899;-1,20266433776452e-05;0,0498553827472106;1,00053161517045;0,425874173563029;0,249970749218021;0,104539244257652;3,99599152351984;6,20141180867038;3,94598120336567;6,07148607958296;0,00175510828160183;1,10767539599739;-0,00282413830575627;1,09452540872493
"4";100;100;0;0;1;1;0;95,75;-0,000180830597364578;0,0997333455800474;4,50010438236736e-06;0,099987061632519;0,998444048800664;0,432698070580073;0,999296848913363;0,417476205634235;3,92754327020763;5,96677264915537;3,93933111334956;6,08331187915844;4,24622605561655e-05;1,08368138134271;-0,00290275146558975;1,09121049038807
"5";100;100;0;0;1;100;0;95,75;0,000288626708348391;0,0997263625884942;-0,00212175582610582;1,00065781675035;0,999037487977604;0,433468987930311;100,119562203333;44,4685544059863;3,95452020632999;6,09319556690596;3,983288610985;6,10951169911629;0,00409345437319708;1,09552128061542;0,000844608749399645;1,10083999815785
"6";100;100;0;0;1;4;0;95,75;-7,2829974871671e-05;0,0998083862726611;0,00041596657884204;0,199951976906331;0,999518010493686;0,457813495974941;3,99810498289034;1,63515390043037;3,92448523313163;5,99282124656774;3,95367193277844;6,1009673375265;0,00293218968565318;1,08638318991302;0,00108200362486568;1,09610765565702
"7";100;100;0;0;1;16;0;95,75;0,000218967643787524;0,100224242994333;-0,00240247211353324;0,400532844389965;1,00180023558935;0,463645628102537;16,0336931108559;13,3311958519753;3,98769471089353;6,17132036037737;3,97296541512741;6,1307935267418;0,00373020356151437;1,10333758081197;-0,00745417028772142;1,09918489874808
"8";100;100;1;0;1;0,01;0;95,75;0,999842278723396;0,100147758815384;1,0911662094552e-05;0,010031664599923;1,00142862213172;0,458816672174974;0,0100081481204578;0,00504475179454307;3,9793775309186;6,14923053580458;3,94516472247904;6,14165805514921;-0,000630279986514401;1,10191140441481;-0,00323548808134743;1,09759450426123
"9";100;100;1;0;1;0,0625;0;95,75;0,999901749728043;0,100578074353408;2,48295409406814e-05;0,0249227074753194;1,00080841345446;0,564784350369931;0,0624460879104185;0,0270823696453008;3,92964781715497;6,04961494105356;3,92132201494388;6,00301826742812;0,00102671913114313;1,09042845183656;0,000413110736986585;1,08559144093438
"10";100;100;1;0;1;0,25;0;95,75;1,00040132012106;0,100452153252948;0,000228666485821827;0,0500200686340453;1,00041616445163;0,471985268153486;0,249402894564847;0,0967017517249298;3,94052600031568;6,03210523462695;3,92928390094848;5,98789347002781;-0,00231997327592669;1,0914970935438;0,00623445103429533;1,08730758923469
"11";100;100;1;0;1;1;0;95,75;1,0000455390503;0,0999112595193836;-4,94915926368382e-05;0,100384874674475;1,00066094123782;0,435235397917376;0,998747241909774;0,402864033622848;3,95221986290091;6,14351677970669;3,96092085959498;6,11432660550981;0,00411372802584019;1,09692466668174;-0,000641517879955745;1,09829483481516
"12";100;100;1;0;1;100;0;95,75;0,999874194365326;0,100070423404822;-0,00142047437839156;1,00077111093516;1,00013714068704;0,472149631583964;99,816325234063;40,9404890222315;3,94687842970677;6,03127571726493;3,93340103277984;5,96077565230227;-0,000331338134997244;1,09204111021787;-0,00467446785426316;1,0852484668824
"13";100;100;1;0;1;4;0;95,75;0,999880495397365;0,101003234431652;-8,85241649831043e-05;0,200581558450858;1,02448361122815;8,31485010040463;4,00091927569443;1,85130892347587;3,91627377481878;5,98563404386369;3,96527039641148;6,11960012471625;0,0013355368429587;1,08386355010175;0,000411001038089328;1,09839045381575
"14";100;100;1;0;1;16;0;95,75;1,00034176083054;0,100231383919844;-0,00146444922584299;0,399027212043464;1,00299233391871;0,552732815469962;15,9985436938607;6,24484629227097;3,9595492924707;6,11664015715686;3,95397656939469;6,03330041287008;0,000631234179531474;1,09604436866925;-0,00241856258511024;1,09499911888464
