"n1";"n2";"m1";"m2";"var1";"var2";"skew";"kurt";"Average_m1";"Stdev_m1";"Average_m2";"Stdev_m2";"Average_sd1";"Stdev_sd1";"Average_sd2";"Stdev_sd2";"Average_skew1";"Stdev_skew1";"Average_skew2";"Stdev_skew2";"Average_kurt1";"Stdev_kurt1";"Average_kurt2";"Stdev_kurt2"
"1";100;100;0;0;1;0,01;2,08;95,75;-0,000261576970030018;0,100071330072592;-1,10268774908641e-06;0,0099763460494245;1,00448623894264;1,15435807419064;0,00998482766942818;0,00529915999459878;4,97800565211893;7,46089355826822;4,94222564710194;7,41457754126337;-1,10718629712937;1,08295455482885;-1,09930728229939;1,07979798542971
"2";100;100;0;0;1;0,0625;2,08;95,75;-0,000546989595248836;0,0999165686125099;-4,28114549313946e-05;0,0249667819581465;1,00114668628199;0,519211057868815;0,0623532969134311;0,0309836473863589;5,00264994911176;7,50303438342117;4,96522546658448;7,4394060399876;-1,10874234791338;1,0866850783653;-1,10451047854194;1,07967145657576
"3";100;100;0;0;1;0,25;2,08;95,75;-0,000291336178508759;0,100432556125285;8,15528186535333e-05;0,0497539663868574;1,00405102299044;0,576118740489795;0,249643354454519;0,118031458605206;5,02811823561598;7,65356137322123;4,97162704725165;7,46978069229954;-1,11163258491526;1,09764260612625;-1,10391447040386;1,0833640982078
"4";100;100;0;0;1;1;2,08;95,75;0,000453347460045198;0,100302309500229;0,000352356618503266;0,0994503316536344;1,00321999855607;0,743406506574297;1,0001032697175;0,604263437155882;5,01353384431503;7,61345912744625;4,94462730302784;7,47109040876451;-1,10872646702355;1,09635883506791;-1,0994502112401;1,08108342932423
"5";100;100;0;0;1;100;2,08;95,75;0,000472989681589476;0,100134339511679;0,00140572067755044;0,996827200860213;0,99567309300133;0,472127866911667;99,9300706157898;51,1830139377923;4,92965457032522;7,43268822089604;4,94987580667202;7,41585118363906;-1,09682121004276;1,07924016824608;-1,10177834010675;1,07891132071774
"6";100;100;0;0;1;4;2,08;95,75;-0,000469993899326909;0,0997818482935562;0,000577080754699673;0,200014113985308;0,999356360598893;0,498486054936247;3,99456558379097;2,26114605693609;4,94885105922865;7,42987376879642;4,93073514161207;7,45111730976625;-1,10099769485039;1,08029323901583;-1,09832609812178;1,07923267193849
"7";100;100;0;0;1;16;2,08;95,75;-0,000240887472324365;0,100121064472085;-0,00112160164723262;0,398847746965745;1,00172238634753;0,555693251456245;15,9662836358339;7,66378066343767;5,01656146568808;7,53515655831684;4,94715240392688;7,38220909520999;-1,11157516821414;1,08980419107443;-1,10213270545502;1,07617403269936
"8";100;100;1;0;1;0,01;2,08;95,75;1,0000090217074;0,10035809176737;4,25184259062527e-05;0,00996722185267658;1,00487840141584;1,64068942345873;0,00994115902387106;0,00473387029278164;4,97051589647593;7,48806954395707;4,91183810513081;7,34099476932878;-1,10665675519588;1,08379589141253;-1,09813584015277;1,06960765729049
"9";100;100;1;0;1;0,0625;2,08;95,75;0,999903093671993;0,100256178472635;6,59477883274359e-05;0,0249860981254967;1,00012150204892;0,57178962144107;0,0624300150545359;0,0322221861568714;4,97710851649917;7,52374583486073;4,95840037322003;7,46863540335904;-1,10654313658127;1,08714032000036;-1,10397086446228;1,0826510210548
"10";100;100;1;0;1;0,25;2,08;95,75;1,00009204427537;0,0997755042297301;0,000427660503889665;0,0499526584067981;1,00061362228482;0,552109530593148;0,249484276439414;0,136949937139923;5,01057560627873;7,55790439046125;4,9700077343232;7,45287471637217;-1,1062719482643;1,09350681218331;-1,10308314508173;1,0823056679435
"11";100;100;1;0;1;1;2,08;95,75;0,999491284565975;0,0998791937614953;0,00025216133102968;0,0991712148533823;0,997130043091591;0,480611501033796;0,998807702073088;0,492529728481262;4,94307835318903;7,40853532092278;4,96676166711476;7,50937273759571;-1,10332430363164;1,07627259939169;-1,10217917207667;1,08630547928369
"12";100;100;1;0;1;100;2,08;95,75;1,00026544101677;0,100274070578942;-0,00490391827121768;1,00276793833682;1,00169793010425;0,569695882186878;100,189450762333;60,297530987883;5,01177597267834;7,58149205958227;5,01141225534104;7,59373344937288;-1,11069198662722;1,09293315638848;-1,10684201617359;1,09401233523518
"13";100;100;1;0;1;4;2,08;95,75;1,000456721724;0,0998714562854566;-0,000992799370175502;0,199854455864755;0,998206777880099;0,481367698840308;3,99991790620161;1,8982885679382;4,94098767681665;7,44810558028866;4,99438563381068;7,49275959857839;-1,09720935862262;1,08298021224893;-1,10843005916158;1,08640853463607
"14";100;100;1;0;1;16;2,08;95,75;0,999983365503377;0,0998937218448944;0,00270566987994365;0,401856586201234;0,99966479475814;0,512043485039435;15,9797473752101;10,0649416285635;4,9777851234732;7,44997630042523;4,94621973248587;7,45869879700596;-1,10490306075487;1,08184751071982;-1,09852959822285;1,08413389948406
"15";100;100;2;0;1;0,01;2,08;95,75;2,00030340407263;0,0997389131832116;4,77134509040663e-05;0,00998452546722541;0,99650312492503;0,502223908291283;0,00999382125013147;0,00558581456664365;4,91684791470956;7,36598125216354;4,96754562914891;7,47535011670132;-1,09623602524079;1,07523151256191;-1,10354057940424;1,08341002538517
"16";100;100;2;0;1;0,0625;2,08;95,75;1,99974825932933;0,099963757070043;0,000111203365578989;0,0249780994685693;1,00002619450086;0,515428774068123;0,0624081552445309;0,0474049829398325;4,96457980092307;7,51081715202409;4,91920391374901;7,42272255967231;-1,1043194697466;1,08554627097267;-1,09562088441282;1,07832358524851
"17";100;100;2;0;1;0,25;2,08;95,75;2,00029450963505;0,0996397226147739;-0,000137105179395216;0,0500389494496807;1,00005654777066;0,531220508760825;0,250322988015633;0,135226321502908;4,96158735946991;7,55547866358232;4,99829196659586;7,47331225445226;-1,09909076804999;1,08957974501137;-1,10786015082748;1,08560302756136
"18";100;100;2;0;1;1;2,08;95,75;2,00000174087853;0,100420432064495;-0,000519668366641403;0,0999883836615256;1,00471484563967;1,22415576669902;0,999570607058176;0,510553696349038;4,9721898875908;7,48510169732972;4,99414231641596;7,54756629729377;-1,10402458174438;1,08534152199613;-1,10570779992539;1,09223333543743
"19";100;100;2;0;1;100;2,08;95,75;2,00017168209478;0,100094590220654;0,00333948328647589;0,993312635110668;0,99828525218133;0,51296257755795;99,7981889771923;54,5909466891922;4,94894427960008;7,45788334711505;4,9449704582655;7,45866358117921;-1,09758426829354;1,08321297065372;-1,1008586410823;1,08058066013715
"20";100;100;2;0;1;4;2,08;95,75;1,99983692517246;0,0999069554128182;-0,000442800728071866;0,199788304164499;1,00154582233411;0,512054136214498;4,00601446302509;2,08600261205041;4,99085268632336;7,52364844645723;4,990751394797;7,50125136793199;-1,10812097843418;1,0878851779351;-1,10545447817496;1,08688676741784
"21";100;100;2;0;1;16;2,08;95,75;1,99946491450372;0,100400413112165;0,00193291755286717;0,40017193623853;1,00150951886198;0,501891317315545;15,9868331985073;8,4436499426924;4,99359951205387;7,54082318931032;4,95298435187518;7,45461898294693;-1,10717777801606;1,08976215410967;-1,09981541563054;1,08170336153745
"22";100;20;0;0;1;0,01;2,08;95,75;-0,000414553871310522;0,100321246465002;-5,62199390808828e-05;0,0223740630984179;1,00145737763153;0,569797137690862;0,0100271867892724;0,0115956505705949;5,00254331341834;7,55202356893834;1,71462014530933;2,8836939389288;-1,11182153941109;1,08865901187077;-0,605319751101588;0,957409111259223
