"n1";"n2";"m1";"m2";"var1";"var2";"skew";"kurt";"Average_m1";"Stdev_m1";"Average_m2";"Stdev_m2";"Average_sd1";"Stdev_sd1";"Average_sd2";"Stdev_sd2";"Average_skew1";"Stdev_skew1";"Average_skew2";"Stdev_skew2";"Average_kurt1";"Stdev_kurt1";"Average_kurt2";"Stdev_kurt2"
"19";100;100;2;0;1;100;0;0;2,00031673086759;0,0999755441959366;-0,00190351038758659;1,00194401541869;0,999842072625241;0,140580644913968;100,038589536205;13,9915290532447;-0,0521050326647058;0,445671459938111;-0,0548786582864405;0,446470676112834;0,000784821811784708;0,232986796568089;0,000846226774319751;0,233186230801766
"20";100;100;2;0;1;4;0;0;1,99963578829008;0,100062392043391;-0,000845661419055359;0,199335137368726;1,00069465871324;0,140768535023432;4,00102232656327;0,558535593840002;-0,0537584416159977;0,442886313554312;-0,0545172632080244;0,444803244319314;0,000227044685996262;0,232016176853054;-0,000591702070274612;0,232380551692176
"21";100;100;2;0;1;16;0;0;1,99957838019946;0,100064325911889;-0,00256728522645973;0,400222665528941;0,999568357753182;0,140087892389869;15,9980547283522;2,24347252542942;-0,0556164546202377;0,443057801229576;-0,0516782835594686;0,446347556320674;0,000294243042012198;0,232761584414707;0,000922923540023932;0,233388626189447
"22";100;100;3;0;1;0,01;0;0;3,00070735565901;0,100051927985404;2,95368032160896e-06;0,0100081675336521;0,999597558688751;0,140388908569243;0,0100025692643662;0,00139924405106869;-0,0549306165237163;0,443856255860252;-0,0552591226088601;0,445234618071195;-0,000564796406064129;0,231659925300498;0,000691074742242851;0,232106134396243
"23";100;100;3;0;1;0,0625;0;0;2,99972258645757;0,100372072771843;-4,26481752878369e-05;0,0249706147270442;1,00037959431795;0,139515934019465;0,0624919736212696;0,0087766907449306;-0,0529826780946759;0,444063402089366;-0,0567535727561698;0,444949475337649;2,98826898922032e-05;0,232260401726977;0,000978528011139617;0,232216402585178
"24";100;100;3;0;1;0,25;0;0;3,0006817939905;0,100214053713928;0,000319559074423477;0,0499206919984484;1,00048425906729;0,140152696518144;0,25000107638036;0,0350340341526151;-0,056161003619876;0,444060721434024;-0,0549333271412686;0,445122284446062;0,00159761454343769;0,231841213891557;-0,00088519299155321;0,232023771989642
"25";100;100;3;0;1;1;0;0;3,00002094389656;0,0999190635103392;-0,000414683974759262;0,0999777566826394;0,999562816765488;0,140125444789885;0,999837725461935;0,140117235739836;-0,0542352540633941;0,443989585951997;-0,0545108327045447;0,443591047276841;0,00196276265553291;0,231960914647153;-0,000765611657363395;0,231302004573718
"26";100;100;3;0;1;100;0;0;3,00011870914308;0,100286649052303;0,00127325134790781;1,00055961059291;1,00032320612575;0,140333832326708;99,9920821533748;14,0098808339759;-0,0519994052884541;0,445670773660689;-0,0552096232878416;0,444667838756365;0,000520454837195242;0,232158338771651;0,000513573229790741;0,231550640405707
"27";100;100;3;0;1;4;0;0;2,9997762486918;0,100031190885848;2,93067561744617e-05;0,200195365429781;1,00045636836841;0,140250047359892;3,99888308902256;0,559730034091803;-0,0527734244306872;0,445155043287297;-0,0523874842467637;0,447609695698039;-0,000299279162623615;0,231894631936876;-0,000658925372261988;0,233144486219397
"28";100;100;3;0;1;16;0;0;3,00002352414297;0,0998392851758741;-0,000963830424050925;0,399645844668065;1,00021175895269;0,140060925816867;15,9969890561226;2,24246101477209;-0,0518170161039527;0,446882662645904;-0,0537520594789096;0,445300381623355;-0,00149966147785524;0,232793510679608;0,000762872138628678;0,232180829852943
