"n1";"n2";"m1";"m2";"sd1";"sd2";"C.P_cohen.d";"C.P_glass1.d";"C.P_glass2.d";"C.P_cohen.dprime";"C.P_shieh.d";"C.P_hedges.g";"C.P_glass1.g";"C.P_glass2.g";"C.P_hedges.gprime";"C.P_shieh.g"
"1";100;100;0;0;1;0,1;0,90781;0,90924;0,90924;0,90913;0,90913;0,90781;0,90924;0,90924;0,90913;0,90913
"2";100;100;0;0;1;0,25;0,91468;0,91601;0,91601;0,91554;0,91554;0,91468;0,91601;0,91601;0,91554;0,91554
"3";100;100;0;0;1;0,5;0,93514;0,93638;0,93638;0,93549;0,93549;0,93514;0,93638;0,93638;0,93549;0,93549
"4";100;100;0;0;1;1;0,95499;0,95642;0,95642;0,95556;0,95556;0,95499;0,95642;0,95642;0,95556;0,95556
"5";100;100;0;0;1;10;0,90796;0,90942;0,9094;0,90928;0,90928;0,90796;0,90942;0,9094;0,90928;0,90928
"6";100;100;0;0;1;2;0,93662;0,93807;0,93806;0,93699;0,93699;0,93662;0,93807;0,93806;0,93699;0,93699
"7";100;100;0;0;1;4;0,91449;0,91575;0,91574;0,91523;0,91523;0,91449;0,91575;0,91574;0,91523;0,91523
"8";100;100;1;0;1;0,1;0,59728;0,64473;0,51742;0,64884;0,64884;0,60069;0,65174;0,52073;0,6551;0,6551
"9";100;100;1;0;1;0,25;0,63414;0,65304;0,50546;0,67223;0,67223;0,63776;0,66029;0,50896;0,67807;0,67807
"10";100;100;1;0;1;0,5;0,6974;0,68222;0,50587;0,71487;0,71487;0,70048;0,68806;0,50847;0,71881;0,71881
"11";100;100;1;0;1;1;0,68962;0,74235;0,53436;0,69335;0,69335;0,69117;0,74686;0,53611;0,69508;0,69508
"12";100;100;1;0;1;10;0,84051;0,8968;0,84285;0,84353;0,84353;0,84078;0,89768;0,84341;0,84394;0,84394
"13";100;100;1;0;1;2;0,67615;0,81855;0,6244;0,68033;0,68033;0,67671;0,82109;0,62528;0,68051;0,68051
"14";100;100;1;0;1;4;0,75042;0,87163;0,74368;0,75506;0,75506;0,75099;0,87319;0,7443;0,75541;0,75541
"15";100;20;0;0;1;0,1;0,99384;0,9157;0,92738;0,91562;0,91549;0,99384;0,9157;0,92738;0,91562;0,91549
"16";100;20;0;0;1;0,25;0,98987;0,94205;0,95328;0,94198;0,94322;0,98987;0,94205;0,95328;0,94198;0,94322
"17";100;20;0;0;1;0,5;0,98084;0,95604;0,96747;0,95667;0,95812;0,98084;0,95604;0,96747;0,95667;0,95812
"18";100;20;0;0;1;1;0,95342;0,89444;0,90764;0,89473;0,89659;0,95342;0,89444;0,90764;0,89473;0,89659
"19";100;20;0;0;1;10;0,55427;0,82459;0,83575;0,83447;0,83549;0,55427;0,82459;0,83575;0,83447;0,83549
"20";100;20;0;0;1;2;0,79245;0,84303;0,85561;0,84489;0,84997;0,79245;0,84303;0,85561;0,84489;0,84997
"21";100;20;0;0;1;4;0,62837;0,82841;0,83992;0,83458;0,83829;0,62837;0,82841;0,83992;0,83458;0,83829
"22";100;20;1;0;1;0,1;0,90284;0,65093;0,45835;0,65403;0,66303;0,90618;0,65782;0,46852;0,66085;0,66932
"23";100;20;1;0;1;0,25;0,89853;0,67971;0,44802;0,6821;0,64597;0,90175;0,68624;0,45654;0,68712;0,64879
"24";100;20;1;0;1;0,5;0,87855;0,72722;0,45496;0,68063;0,54812;0,88091;0,73211;0,46201;0,68292;0,54712
"25";100;20;1;0;1;1;0,78058;0,77288;0,50978;0,63198;0,53036;0,78261;0,77665;0,51206;0,63007;0,52779
"26";100;20;1;0;1;10;0,47407;0,8178;0,78396;0,78305;0,78382;0,47376;0,81862;0,78619;0,78505;0,78598
"27";100;20;1;0;1;2;0,5925;0,79757;0,61655;0,64427;0,61976;0,59382;0,80047;0,6173;0,64199;0,61858
"28";100;20;1;0;1;4;0,47332;0,81374;0,71946;0,72015;0,7192;0,47341;0,81526;0,72228;0,72177;0,72168
"29";100;50;0;0;1;0,1;0,96269;0,91052;0,91332;0,91038;0,91021;0,96269;0,91052;0,91332;0,91038;0,91021
"30";100;50;0;0;1;0,25;0,96321;0,92419;0,92701;0,92359;0,92359;0,96321;0,92419;0,92701;0,92359;0,92359
"31";100;50;0;0;1;0,5;0,96356;0,95062;0,9536;0,95009;0,95036;0,96356;0,95062;0,9536;0,95009;0,95036
"32";100;50;0;0;1;1;0,95645;0,94733;0,95028;0,94719;0,94732;0,95645;0,94733;0,95028;0,94719;0,94732
"33";100;50;0;0;1;10;0,7812;0,88195;0,88463;0,88427;0,88445;0,7812;0,88195;0,88463;0,88427;0,88445
"34";100;50;0;0;1;2;0,87817;0,90868;0,91165;0,90858;0,90918;0,87817;0,90868;0,91165;0,90858;0,90918
"35";100;50;0;0;1;4;0,80883;0,88807;0,89098;0,88936;0,89005;0,80883;0,88807;0,89098;0,88936;0,89005
"36";100;50;1;0;1;0,1;0,74046;0,64596;0,4715;0,64896;0,65236;0,74455;0,65276;0,47783;0,65588;0,65913
"37";100;50;1;0;1;0,25;0,75557;0,66333;0,46456;0,67864;0,68335;0,75982;0,67024;0,46957;0,68401;0,68839
"38";100;50;1;0;1;0,5;0,77221;0,70534;0,46953;0,69951;0,66816;0,77497;0,7112;0,47332;0,70297;0,67068
"39";100;50;1;0;1;1;0,71454;0,76779;0,51353;0,66259;0,60852;0,71653;0,7714;0,51592;0,66374;0,60884
"40";100;50;1;0;1;10;0,69532;0,87516;0,82569;0,82586;0,8258;0,69527;0,87595;0,82655;0,82682;0,82665
