"n1";"n2";"m1";"m2";"sd1";"sd2";"C.P_cohen.d";"C.P_glass1.d";"C.P_glass2.d";"C.P_cohen.dprime";"C.P_shieh.d";"C.P_hedges.g";"C.P_glass1.g";"C.P_glass2.g";"C.P_hedges.gprime";"C.P_shieh.g"
"47";20;100;0;0;1;10;0,99997;0,962;0,95058;0,95052;0,95028;0,99997;0,962;0,95058;0,95052;0,95028
"48";20;100;0;0;1;2;0,9969;0,95865;0,94784;0,9475;0,9497;0,9969;0,95865;0,94784;0,9475;0,9497
"49";20;100;0;0;1;4;0,99975;0,96159;0,95044;0,95022;0,95022;0,99975;0,96159;0,95044;0,95022;0,95022
"50";20;100;1;0;1;0,1;0,6178;0,95322;0,93996;0,95269;0,95314;0,61612;0,94734;0,93972;0,94708;0,94732
"51";20;100;1;0;1;0,25;0,68557;0,95458;0,94031;0,95194;0,95412;0,68536;0,94971;0,93998;0,9475;0,94913
"52";20;100;1;0;1;0,5;0,81224;0,9542;0,9398;0,94701;0,95211;0,81182;0,94864;0,93905;0,94421;0,94733
"53";20;100;1;0;1;1;0,94794;0,95369;0,94122;0,94305;0,94812;0,94765;0,94781;0,94073;0,94221;0,94426
"54";20;100;1;0;1;10;0,99996;0,95909;0,94912;0,94912;0,94887;0,99996;0,95789;0,94922;0,94912;0,94879
"55";20;100;1;0;1;2;0,99641;0,95638;0,94754;0,94715;0,94926;0,99644;0,95098;0,94754;0,94715;0,94852
"56";20;100;1;0;1;4;0,99981;0,95856;0,94988;0,94984;0,9499;0,99983;0,9549;0,95005;0,94978;0,94987
"57";20;20;0;0;1;0,1;0,9429;0,95019;0,95019;0,94982;0,94982;0,9429;0,95019;0,95019;0,94982;0,94982
"58";20;20;0;0;1;0,25;0,94352;0,95074;0,95074;0,94891;0,94891;0,94352;0,95074;0,95074;0,94891;0,94891
"59";20;20;0;0;1;0,5;0,94683;0,95378;0,95379;0,94913;0,94913;0,94683;0,95378;0,95379;0,94913;0,94913
"60";20;20;0;0;1;1;0,95012;0,95683;0,95683;0,95044;0,95044;0,95012;0,95683;0,95683;0,95044;0,95044
"61";20;20;0;0;1;10;0,94313;0,95024;0,95024;0,94993;0,94993;0,94313;0,95024;0,95024;0,94993;0,94993
"62";20;20;0;0;1;2;0,94642;0,95359;0,95359;0,94885;0,94885;0,94642;0,95359;0,95359;0,94885;0,94885
"63";20;20;0;0;1;4;0,94329;0,95038;0,95038;0,9484;0,9484;0,94329;0,95038;0,95038;0,9484;0,9484
"64";20;20;1;0;1;0,1;0,9282;0,95361;0,94851;0,95304;0,95304;0,92774;0,94865;0,93811;0,9484;0,9484
"65";20;20;1;0;1;0,25;0,93449;0,95525;0,9508;0,95298;0,95298;0,93415;0,94942;0,94025;0,94849;0,94849
"66";20;20;1;0;1;0,5;0,94497;0,95481;0,95044;0,95141;0,95141;0,94369;0,94918;0,94161;0,9482;0,9482
"67";20;20;1;0;1;1;0,95183;0,9547;0,95566;0,95266;0,95266;0,95071;0,94928;0,95026;0,95124;0,95124
"68";20;20;1;0;1;10;0,94251;0,94973;0,94977;0,9494;0,9494;0,94263;0,94961;0,94953;0,94915;0,94915
"69";20;20;1;0;1;2;0,94732;0,95271;0,95583;0,95092;0,95092;0,94709;0,94968;0,95329;0,95019;0,95019
"70";20;20;1;0;1;4;0,94397;0,95047;0,95198;0,95006;0,95006;0,94402;0,94872;0,95123;0,94965;0,94965
"71";20;50;0;0;1;0,1;0,78062;0,95069;0,94225;0,95024;0,95049;0,78062;0,95069;0,94225;0,95024;0,95049
"72";20;50;0;0;1;0,25;0,80465;0,95024;0,94138;0,94817;0,94934;0,80465;0,95024;0,94138;0,94817;0,94934
"73";20;50;0;0;1;0,5;0,86659;0,95283;0,94401;0,94716;0,94978;0,86659;0,95283;0,94401;0,94716;0,94978
"74";20;50;0;0;1;1;0,94991;0,95655;0,9479;0,94715;0,94987;0,94991;0,95655;0,9479;0,94715;0,94987
"75";20;50;0;0;1;10;0,99692;0,9589;0,95034;0,95019;0,95005;0,99692;0,9589;0,95034;0,95019;0,95005
"76";20;50;0;0;1;2;0,98848;0,96033;0,95186;0,9505;0,95051;0,98848;0,96033;0,95186;0,9505;0,95051
"77";20;50;0;0;1;4;0,99572;0,96006;0,95163;0,951;0,95043;0,99572;0,96006;0,95163;0,951;0,95043
"78";20;50;1;0;1;0,1;0,76842;0,95539;0,94376;0,95476;0,95524;0,76731;0,9495;0,94061;0,94929;0,94933
"79";20;50;1;0;1;0,25;0,80297;0,95483;0,94348;0,95199;0,95354;0,80162;0,94908;0,94121;0,94777;0,94847
"80";20;50;1;0;1;0,5;0,87387;0,95588;0,94457;0,94908;0,95171;0,87253;0,94976;0,94208;0,94646;0,9481
"81";20;50;1;0;1;1;0,95052;0,95589;0,94832;0,94847;0,95004;0,9504;0,95014;0,94632;0,94792;0,94801
"82";20;50;1;0;1;10;0,9967;0,95892;0,95138;0,95127;0,9511;0,99666;0,95792;0,95115;0,95104;0,9509
"83";20;50;1;0;1;2;0,98739;0,95717;0,95143;0,95076;0,95129;0,98744;0,95232;0,95053;0,95031;0,95092
"84";20;50;1;0;1;4;0,99548;0,95771;0,951;0,95032;0,94991;0,99552;0,95527;0,95089;0,9503;0,94998
"85";50;100;0;0;1;0,1;0,83487;0,95076;0,94796;0,95058;0,95067;0,83487;0,95076;0,94796;0,95058;0,95067
"86";50;100;0;0;1;0,25;0,84967;0,95107;0,9483;0,95028;0,95059;0,84967;0,95107;0,9483;0,95028;0,95059
"87";50;100;0;0;1;0,5;0,89002;0,95225;0,94933;0,95008;0,95085;0,89002;0,95225;0,94933;0,95008;0,95085
"88";50;100;0;0;1;1;0,94958;0,95238;0,94949;0,94887;0,94949;0,94958;0,95238;0,94949;0,94887;0,94949
"89";50;100;0;0;1;10;0,99315;0,95276;0,94985;0,94979;0,94975;0,99315;0,95276;0,94985;0,94979;0,94975
"90";50;100;0;0;1;2;0,98321;0,95439;0,95164;0,95089;0,95078;0,98321;0,95439;0,95164;0,95089;0,95078
"91";50;100;0;0;1;4;0,99136;0,95435;0,95162;0,95133;0,95113;0,99136;0,95435;0,95162;0,95133;0,95113
"92";50;100;1;0;1;0,1;0,81458;0,95192;0,94795;0,95164;0,9518;0,81395;0,94982;0,94647;0,94968;0,94971
"93";50;100;1;0;1;0,25;0,84102;0,95274;0,9489;0,95167;0,95214;0,84022;0,95082;0,94746;0,95009;0,95041
"94";50;100;1;0;1;0,5;0,89094;0,95244;0,94939;0,94965;0,95072;0,89043;0,9504;0,9477;0,94883;0,94923
"95";50;100;1;0;1;1;0,95091;0,95257;0,95032;0,9504;0,95078;0,95055;0,95046;0,94953;0,95015;0,94986
"96";50;100;1;0;1;10;0,99315;0,95339;0,95106;0,95104;0,95101;0,99317;0,95317;0,95099;0,95089;0,9508
"97";50;100;1;0;1;2;0,98131;0,95267;0,95156;0,95118;0,95055;0,98134;0,95094;0,9513;0,95104;0,95078
"98";50;100;1;0;1;4;0,99051;0,95274;0,95091;0,95049;0,95031;0,99048;0,95194;0,95068;0,95043;0,95018
"99";50;20;0;0;1;0,1;0,99685;0,95045;0,95896;0,95036;0,95021;0,99685;0,95045;0,95896;0,95036;0,95021
"100";50;20;0;0;1;0,25;0,99546;0,95048;0,95888;0,94984;0,94931;0,99546;0,95048;0,95888;0,94984;0,94931
"101";50;20;0;0;1;0,5;0,98839;0,95161;0,96008;0,95023;0,95028;0,98839;0,95161;0,96008;0,95023;0,95028
"102";50;20;0;0;1;1;0,94954;0,94679;0,9558;0,94606;0,94854;0,94954;0,94679;0,9558;0,94606;0,94854
"103";50;20;0;0;1;10;0,77662;0,94069;0,94957;0,94921;0,94947;0,77662;0,94069;0,94957;0,94921;0,94947
"104";50;20;0;0;1;2;0,86587;0,94319;0,95125;0,94617;0,94867;0,86587;0,94319;0,95125;0,94617;0,94867
"105";50;20;0;0;1;4;0,80484;0,94223;0,95105;0,94908;0,95018;0,80484;0,94223;0,95105;0,94908;0,95018
"106";50;20;1;0;1;0,1;0,99239;0,952;0,95483;0,95191;0,95167;0,99268;0,95035;0,94083;0,95024;0,95004
"107";50;20;1;0;1;0,25;0,99023;0,95185;0,9561;0,95131;0,95163;0,9905;0,94984;0,94298;0,94953;0,95019
"108";50;20;1;0;1;0,5;0,98399;0,95096;0,95774;0,95083;0,95277;0,98402;0,94878;0,9474;0,94981;0,95181
"109";50;20;1;0;1;1;0,951;0,94958;0,95596;0,94842;0,95008;0,95111;0,94772;0,95024;0,9481;0,94829
"110";50;20;1;0;1;10;0,78073;0,94198;0,95105;0,95073;0,95089;0,78048;0,94202;0,95089;0,95048;0,95075
"111";50;20;1;0;1;2;0,86859;0,94411;0,95356;0,94792;0,95059;0,86839;0,94338;0,95148;0,94677;0,94884
"112";50;20;1;0;1;4;0,80541;0,94316;0,95212;0,94977;0,95109;0,80527;0,94307;0,95178;0,94989;0,95087
"113";50;50;0;0;1;0,1;0,94753;0,95032;0,95031;0,95021;0,95021;0,94753;0,95032;0,95031;0,95021;0,95021
"114";50;50;0;0;1;0,25;0,94838;0,95116;0,95116;0,95048;0,95048;0,94838;0,95116;0,95116;0,95048;0,95048
"115";50;50;0;0;1;0,5;0,9494;0,95173;0,95173;0,95022;0,95022;0,9494;0,95173;0,95173;0,95022;0,95022
"116";50;50;0;0;1;1;0,95041;0,95316;0,95316;0,95045;0,95045;0,95041;0,95316;0,95316;0,95045;0,95045
"117";50;50;0;0;1;10;0,94578;0,94863;0,94862;0,94853;0,94853;0,94578;0,94863;0,94862;0,94853;0,94853
"118";50;50;0;0;1;2;0,94895;0,95174;0,95176;0,94982;0,94982;0,94895;0,95174;0,95176;0,94982;0,94982
"119";50;50;0;0;1;4;0,94858;0,95138;0,95138;0,95072;0,95072;0,94858;0,95138;0,95138;0,95072;0,95072
"120";50;50;1;0;1;0,1;0,92729;0,95146;0,95088;0,9514;0,9514;0,92753;0,94893;0,9464;0,9489;0,9489
"121";50;50;1;0;1;0,25;0,933;0,9522;0,95087;0,95125;0,95125;0,93245;0,94993;0,94727;0,94957;0,94957
"122";50;50;1;0;1;0,5;0,94511;0,95295;0,95236;0,95165;0,95165;0,94465;0,95102;0,94859;0,95087;0,95087
"123";50;50;1;0;1;1;0,95044;0,95222;0,95183;0,95071;0,95071;0,95018;0,95019;0,94994;0,95045;0,95045
"124";50;50;1;0;1;10;0,94792;0,95078;0,95078;0,95073;0,95073;0,94787;0,9507;0,95081;0,95073;0,95073
"125";50;50;1;0;1;2;0,94811;0,95183;0,95217;0,95049;0,95049;0,94784;0,95078;0,95117;0,94989;0,94989
"126";50;50;1;0;1;4;0,94748;0,95127;0,95159;0,95074;0,95074;0,94758;0,95078;0,9516;0,9508;0,9508
