"n1";"n2";"m1";"m2";"sd1";"sd2";"C.P_cohen.d";"C.P_glass1.d";"C.P_glass2.d";"C.P_cohen.dprime";"C.P_shieh.d";"C.P_hedges.g";"C.P_glass1.g";"C.P_glass2.g";"C.P_hedges.gprime";"C.P_shieh.g"
"47";20;100;0;0;1;10;0,99988;0,95981;0,9488;0,94878;0,94866;0,99988;0,95981;0,9488;0,94878;0,94866
"48";20;100;0;0;1;2;0,9947;0,96091;0,94948;0,94922;0,95159;0,9947;0,96091;0,94948;0,94922;0,95159
"49";20;100;0;0;1;4;0,99935;0,96223;0,95102;0,95079;0,95099;0,99935;0,96223;0,95102;0,95079;0,95099
"50";20;100;1;0;1;0,1;0,42247;0,81238;0,88768;0,81162;0,81218;0,42461;0,81628;0,88844;0,81504;0,816
"51";20;100;1;0;1;0,25;0,5111;0,81138;0,89127;0,80764;0,81016;0,51312;0,81603;0,89257;0,81045;0,81476
"52";20;100;1;0;1;0,5;0,70125;0,816;0,90277;0,81665;0,81256;0,70302;0,82035;0,90443;0,81687;0,81556
"53";20;100;1;0;1;1;0,92187;0,83017;0,9268;0,87349;0,83259;0,9226;0,83294;0,92798;0,87274;0,83262
"54";20;100;1;0;1;10;0,99997;0,94494;0,96051;0,96028;0,95943;0,99997;0,94261;0,96042;0,96014;0,95936
"55";20;100;1;0;1;2;0,99529;0,87073;0,95732;0,94414;0,90616;0,99522;0,86953;0,95789;0,94454;0,90479
"56";20;100;1;0;1;4;0,99987;0,9156;0,96707;0,96499;0,9565;0,99986;0,91043;0,96715;0,96501;0,95616
"57";20;20;0;0;1;0,1;0,93884;0,94567;0,94567;0,9453;0,9453;0,93884;0,94567;0,94567;0,9453;0,9453
"58";20;20;0;0;1;0,25;0,94187;0,94896;0,94897;0,94654;0,94654;0,94187;0,94896;0,94897;0,94654;0,94654
"59";20;20;0;0;1;0,5;0,94883;0,95574;0,95574;0,95097;0,95097;0,94883;0,95574;0,95574;0,95097;0,95097
"60";20;20;0;0;1;1;0,95264;0,95988;0,95988;0,95372;0,95372;0,95264;0,95988;0,95988;0,95372;0,95372
"61";20;20;0;0;1;10;0,93934;0,94641;0,94641;0,94587;0,94587;0,93934;0,94641;0,94641;0,94587;0,94587
"62";20;20;0;0;1;2;0,94825;0,95553;0,95554;0,95075;0,95075;0,94825;0,95553;0,95554;0,95075;0,95075
"63";20;20;0;0;1;4;0,94166;0,94934;0,94934;0,94707;0,94707;0,94166;0,94934;0,94934;0,94707;0,94707
"64";20;20;1;0;1;0,1;0,75118;0,81019;0,88444;0,8093;0,8093;0,7551;0,81515;0,88321;0,81389;0,81389
"65";20;20;1;0;1;0,25;0,77558;0,81826;0,89686;0,81749;0,81749;0,77992;0,82287;0,8962;0,81995;0,81995
"66";20;20;1;0;1;0,5;0,83448;0,83364;0,91951;0,84699;0,84699;0,83743;0,83577;0,91872;0,84781;0,84781
"67";20;20;1;0;1;1;0,91741;0,87449;0,95411;0,91957;0,91957;0,91834;0,87197;0,95415;0,92011;0,92011
"68";20;20;1;0;1;10;0,94846;0,94167;0,95454;0,95405;0,95405;0,94804;0,94013;0,95407;0,95357;0,95357
"69";20;20;1;0;1;2;0,95433;0,91135;0,96817;0,95855;0,95855;0,95414;0,90596;0,96815;0,95828;0,95828
"70";20;20;1;0;1;4;0,95591;0,93057;0,96352;0,96064;0,96064;0,95561;0,92655;0,96256;0,95994;0,95994
"71";20;50;0;0;1;0,1;0,76916;0,94534;0,93626;0,94492;0,94514;0,76916;0,94534;0,93626;0,94492;0,94514
"72";20;50;0;0;1;0,25;0,79945;0,94688;0,93747;0,94442;0,94586;0,79945;0,94688;0,93747;0,94442;0,94586
"73";20;50;0;0;1;0,5;0,86751;0,95057;0,94165;0,94451;0,94708;0,86751;0,95057;0,94165;0,94451;0,94708
"74";20;50;0;0;1;1;0,95204;0,95905;0,94987;0,94925;0,95153;0,95204;0,95905;0,94987;0,94925;0,95153
"75";20;50;0;0;1;10;0,99593;0,95511;0,94642;0,94623;0,94605;0,99593;0,95511;0,94642;0,94623;0,94605
"76";20;50;0;0;1;2;0,98603;0,96147;0,95286;0,95158;0,95188;0,98603;0,96147;0,95286;0,95158;0,95188
"77";20;50;0;0;1;4;0,99328;0,95898;0,95026;0,94962;0,94924;0,99328;0,95898;0,95026;0,94962;0,94924
"78";20;50;1;0;1;0,1;0,55323;0,81205;0,8781;0,81099;0,81159;0,55611;0,81588;0,88013;0,81462;0,81524
"79";20;50;1;0;1;0,25;0,60938;0,8119;0,88776;0,80954;0,81025;0,61291;0,81607;0,8893;0,81147;0,81373
"80";20;50;1;0;1;0,5;0,74381;0,81948;0,90473;0,82408;0,81761;0,74725;0,82318;0,90633;0,82459;0,81902
"81";20;50;1;0;1;1;0,91542;0,84492;0,93717;0,89275;0,86562;0,9165;0,84553;0,93845;0,89338;0,86407
"82";20;50;1;0;1;10;0,99721;0,94615;0,95617;0,95601;0,95568;0,99717;0,9441;0,956;0,95575;0,95541
"83";20;50;1;0;1;2;0,98763;0,89111;0,96413;0,95378;0,9395;0,98769;0,88774;0,96511;0,95425;0,93867
"84";20;50;1;0;1;4;0,99691;0,92569;0,96714;0,96488;0,96237;0,99688;0,92058;0,96689;0,96474;0,96195
"85";50;100;0;0;1;0,1;0,82683;0,94522;0,94226;0,94509;0,94515;0,82683;0,94522;0,94226;0,94509;0,94515
"86";50;100;0;0;1;0,25;0,8495;0,94863;0,94557;0,94762;0,94797;0,8495;0,94863;0,94557;0,94762;0,94797
"87";50;100;0;0;1;0,5;0,89159;0,94955;0,94681;0,94759;0,94827;0,89159;0,94955;0,94681;0,94759;0,94827
"88";50;100;0;0;1;1;0,95114;0,95351;0,95027;0,94967;0,95025;0,95114;0,95351;0,95027;0,94967;0,95025
