"n1";"n2";"n1/n2";"m1-m2";"sd1/sd2";"bias_Hedge";"bias_Glass1";"bias_Glass2";"bias_Shieh";"bias_Shieh_corr";"relbias_Hedge";"relbias_Glass1";"relbias_Glass2";"relbias_Shieh";"relbias_Shieh_corr";"eff_Hedge";"eff_Glass1";"eff_Glass2";"eff_Shieh";"eff_Shieh_corr";"releff_Hedge";"releff_Glass1";"releff_Glass2";"releff_Shieh";"releff_Shieh_corr"
"18";100;100;1;2;1;0,0305585765778686;0,0515885614166334;0,0509003024801089;0,0151473541578591;0,0302947083157181;0,0152792882889343;0,0257942807083167;0,0254501512400545;0,0151473541578591;0,0151473541578591;0,0641047415560646;0,097330535730083;0,0979904649987385;0,0160385097238451;0,0641540388953805;0,0160261853890162;0,0243326339325208;0,0244976162496846;0,0160385097238451;0,0160385097238451
"19";100;100;1;2;0,1;0,00847708845175837;0,0537333424711703;0,00536145271345151;0,00370905134750868;0,00741810269501736;0,0301205160366495;0,0268666712355852;0,0268072635672575;0,0263577621559954;0,0263577621559954;0,0218591024005675;1,15891680517639;0,0109823571846321;0,00542513087925369;0,0217005235170147;0,275971167807164;0,289729201294099;0,274558929615803;0,273969109402311;0,273969109402311
"20";100;100;1;2;0,5;0,026057632346242;0,0508945267935639;0,0262007036052574;0,0121621160757794;0,0243242321515589;0,0206003671613505;0,0254472633967819;0,0262007036052574;0,019229993983406;0,019229993983406;0,0416732654603766;0,129018012223622;0,031725631304411;0,0104122678859934;0,0416490715439738;0,0260457909127354;0,0322545030559056;0,031725631304411;0,0260306697149836;0,0260306697149836
"21";100;100;1;2;0,25;0,0186102552371941;0,0544858803716939;0,0132833747664961;0,00828069377062579;0,0165613875412516;0,0271288757597179;0,0272429401858469;0,0265667495329922;0,0241421635162321;0,0241421635162321;0,0283098212958163;0,258088296892471;0,0155298623651548;0,00704162281172181;0,0281664912468872;0,0601583702536097;0,0645220742231178;0,0621194494606193;0,0598537938996354;0,0598537938996354
"22";100;100;1;3;10;0,124607586358165;0,0785959536322531;0,792725711965076;0,0543656741049046;0,108731348209809;0,0295167759115121;0,026198651210751;0,0264241903988359;0,0257560469106642;0,0257560469106642;0,353885627140595;0,180935696504857;18,2042887035962;0,0878746895132327;0,351498758052931;0,0198569157451112;0,0201039662783174;0,0202269874484403;0,0197229858685256;0,0197229858685256
"23";100;100;1;3;4;0,108700378335339;0,0777410007048576;0,305094651542584;0,0482104302722037;0,0964208605444075;0,0264094448760352;0,0259136669016192;0,0254245542952153;0,0234260583122511;0,0234260583122511;0,308426533586601;0,181540952063639;2,91855896672962;0,0768478361034314;0,307391344413726;0,0182057328853202;0,0201712168959599;0,020267770602289;0,0181446279688658;0,0181446279688658
"24";100;100;1;3;2;0,078525072444604;0,0788646911583624;0,153802545497514;0,0366628009181329;0,0733256018362658;0,0206931735295562;0,0262882303861208;0,0256337575829189;0,0193229927171021;0,0193229927171021;0,216140859352569;0,184771489106458;0,74086218705397;0,0540899674955062;0,216359869982025;0,0150097818994839;0,0205301654562731;0,0205795051959436;0,015024990970974;0,015024990970974
"25";100;100;1;3;1;0,0461752100895088;0,0772504778281879;0,0759917300359247;0,0228919498332214;0,0457838996664428;0,0153917366965029;0,0257501592760627;0,0253305766786416;0,0152612998888143;0,0152612998888143;0,118160198416896;0,191411711839186;0,1926882899609;0,0295690934624505;0,118276373849802;0,0131289109352107;0,0212679679821318;0,0214098099956555;0,0131418193166447;0,0131418193166447
"26";100;100;1;3;0,1;0,0123280105593588;0,0782318371034827;0,00777014041296825;0,00537049892948716;0,0107409978589743;0,0292023251352791;0,0260772790344942;0,0259004680432275;0,0254430437291431;0,0254430437291431;0,0234343283462009;1,24086809489377;0,0117928987092731;0,00581634509117857;0,0232653803647143;0,131492620164794;0,137874232765974;0,131032207880812;0,130544634268675;0,130544634268675
"27";100;100;1;3;0,5;0,0374777791413681;0,0776308499991583;0,0373944153431975;0,0174363134681529;0,0348726269363058;0,0197525239552455;0,0258769499997194;0,0249296102287984;0,0183794881853443;0,0183794881853443;0,0687449282744343;0,222608062070806;0,0555389564119154;0,0171898592538105;0,0687594370152418;0,0190958134095651;0,0247342291189785;0,0246839806275179;0,019099843615345;0,019099843615345
