"n1";"n2";"n1/n2";"m1-m2";"sd1/sd2";"bias_Cohen";"bias_Glass1";"bias_Glass2";"bias_Shieh";"bias_cohen_delta_prime";"relbias_Cohen";"relbias_Glass1";"relbias_Glass2";"relbias_Shieh";"relbias_cohen_delta_prime";"eff_Cohen";"eff_Glass1";"eff_Glass2";"eff_Shieh";"eff_cohen_delta_prime";"releff_Cohen";"releff_Glass1";"releff_Glass2";"releff_Shieh";"releff_cohen_delta_prime"
"18";100;100;1;2;1;0,0382891295343835;0,0672961856255543;0,0666026571564653;0,0191445647671917;0,0382891295343835;0,0191445647671917;0,0336480928127771;0,0333013285782326;0,0191445647671917;0,0191445647671917;0,0645937778632857;0,0988266291688878;0,0994967023850876;0,0161484444658214;0,0645937778632857;0,0161484444658214;0,0247066572922219;0,0248741755962719;0,0161484444658214;0,0161484444658214
"19";100;100;1;2;0,1;0,00958082997337212;0,0694573878161071;0,00693376627908845;0,00479041498668606;0,00958082997337212;0,0340422946510022;0,0347286939080536;0,0346688313954423;0,0340422946510022;0,0340422946510022;0,0220258590937177;1,1767308222815;0,0111511699051549;0,00550646477342943;0,0220258590937177;0,278076471058186;0,294182705570375;0,278779247628874;0,278076471058186;0,278076471058186
"20";100;100;1;2;0,5;0,0309724877894411;0,0665968372493997;0,0340576274145963;0,0154862438947205;0,0309724877894411;0,0244859015540968;0,0332984186246998;0,0340576274145963;0,0244859015540968;0,0244859015540968;0,0419911786030848;0,131001182254769;0,032213294384455;0,0104977946507712;0,0419911786030848;0,026244486626928;0,0327502955636924;0,032213294384455;0,026244486626928;0,026244486626928
"21";100;100;1;2;0,25;0,0212927600435668;0,0702156873896906;0,0172132379540505;0,0106463800217834;0,0212927600435668;0,0310392648806306;0,0351078436948453;0,034426475908101;0,0310392648806306;0,0310392648806306;0,0285257886350261;0,262055440448363;0,0157685759920322;0,00713144715875653;0,0285257886350261;0,0606173008494305;0,0655138601120908;0,0630743039681289;0,0606173008494305;0,0606173008494305
"22";100;100;1;3;10;0,141154005855905;0,102166677918885;1,02848475885601;0,0705770029279527;0,141154005855905;0,0334362560228503;0,0340555593062951;0,0342828252952003;0,0334362560228503;0,0334362560228503;0,356585316993086;0,183716907009412;18,4841116459366;0,0891463292482715;0,356585316993086;0,0200083983423898;0,0204129896677124;0,0205379018288185;0,0200083983423898;0,0200083983423898
"23";100;100;1;3;4;0,124784133748114;0,101305179195928;0,399306427859065;0,062392066874057;0,124784133748114;0,0303170950468831;0,0337683930653094;0,0332755356549221;0,0303170950468831;0,0303170950468831;0,310779429322126;0,184331466111666;2,96342090947077;0,0776948573305314;0,310779429322126;0,018344619091931;0,0204812740124073;0,0205793118713248;0,018344619091931;0,018344619091931
"24";100;100;1;3;2;0,0932709795435129;0,102437472986234;0,20091804402312;0,0466354897717565;0,0932709795435129;0,0245790612460394;0,0341458243287446;0,03348634067052;0,0245790612460394;0,0245790612460394;0,217789734695197;0,187611660594848;0,75225017591888;0,0544474336737993;0,217789734695197;0,0151242871316109;0,0208457400660942;0,0208958382199689;0,0151242871316109;0,0151242871316109
"25";100;100;1;3;1;0,0577723238335044;0,100810900717791;0,0995425155461493;0,0288861619167522;0,0577723238335044;0,0192574412778348;0,0336036335725969;0,0331808385153831;0,0192574412778348;0,0192574412778348;0,11906160798024;0,194353951949599;0,195650152691672;0,02976540199506;0,11906160798024;0,01322906755336;0,0215948835499554;0,0217389058546302;0,01322906755336;0,01322906755336
"26";100;100;1;3;0,1;0,0139821471230551;0,101799773596446;0,0101265279456593;0,00699107356152753;0,0139821471230551;0,0331206080989922;0,0339332578654821;0,0337550931521978;0,0331206080989922;0,0331206080989922;0,0236131019769566;1,25994180697464;0,0119741704782107;0,00590327549423916;0,0236131019769566;0,132495738870701;0,139993534108293;0,133046338646785;0,132495738870701;0,132495738870701
"27";100;100;1;3;0,5;0,044843937930362;0,101194185140873;0,0491652032054721;0,022421968965181;0,044843937930362;0,0236348305185269;0,0337313950469578;0,0327768021369814;0,0236348305185269;0,0236348305185269;0,0692693632077551;0,226029829541734;0,0563926604181931;0,0173173408019388;0,0692693632077551;0,019241489779932;0,0251144255046371;0,025063404630308;0,019241489779932;0,019241489779932
