"n1";"n2";"n1/n2";"m1-m2";"sd1/sd2";"bias_Cohen";"bias_Glass1";"bias_Glass2";"bias_Shieh";"bias_Shieh_corr";"relbias_Cohen";"relbias_Glass1";"relbias_Glass2";"relbias_Shieh";"relbias_Shieh_corr";"eff_Cohen";"eff_Glass1";"eff_Glass2";"eff_Shieh";"eff_Shieh_corr";"releff_Cohen";"releff_Glass1";"releff_Glass2";"releff_Shieh";"releff_Shieh_corr"
"1";100;100;1;0;10;-0,00121537201839795;-0,00086359511566368;-0,00895089968157874;-0,000607686009198974;-0,00121537201839795;-Inf;-Inf;-Inf;-Inf;-Inf;0,0204231837160295;0,0103179760515702;1,03057806668915;0,00510579592900737;0,0204231837160295;Inf;Inf;Inf;Inf;Inf
"2";100;100;1;0;4;0,000769244888884421;0,000562149384105382;0,00219145130347932;0,000384622444442211;0,000769244888884421;Inf;Inf;Inf;Inf;Inf;0,0203088750282133;0,0108138371032089;0,172924141254347;0,00507721875705332;0,0203088750282133;Inf;Inf;Inf;Inf;Inf
"3";100;100;1;0;2;-0,000112418139044552;-9,15357940637311e-05;-0,000164380513757102;-5,62090695222759e-05;-0,000112418139044552;-Inf;-Inf;-Inf;-Inf;-Inf;0,0203490697004489;0,0128003220745165;0,0512037610328182;0,00508726742511223;0,0203490697004489;Inf;Inf;Inf;Inf;Inf
"4";100;100;1;0;1;3,97757897560861e-05;9,00478255583101e-05;-1,97159773637796e-06;1,9887894878043e-05;3,97757897560861e-05;Inf;Inf;-Inf;Inf;Inf;0,0203210926869314;0,0205307693988293;0,0205184434827677;0,00508027317173285;0,0203210926869314;Inf;Inf;Inf;Inf;Inf
"5";100;100;1;0;0,1;0,00141361415516211;0,00973586274953631;0,0010050764732716;0,000706807077581057;0,00141361415516211;Inf;Inf;Inf;Inf;Inf;0,0203608708959112;1,02882802484912;0,0102863134647246;0,00509021772397779;0,0203608708959112;Inf;Inf;Inf;Inf;Inf
"6";100;100;1;0;0,5;-0,000100277203619937;-7,37568526003581e-05;-9,04746596529948e-05;-5,01386018099686e-05;-0,000100277203619937;-Inf;-Inf;-Inf;-Inf;-Inf;0,0203236146436387;0,0511528111326217;0,0127831435594928;0,00508090366090968;0,0203236146436387;Inf;Inf;Inf;Inf;Inf
"7";100;100;1;0;0,25;0,000179623885689765;0,000425418884822269;0,000133022372847692;8,98119428448823e-05;0,000179623885689765;Inf;Inf;Inf;Inf;Inf;0,0203531432089095;0,173230301260395;0,0108377811741894;0,00508828580222738;0,0203531432089095;Inf;Inf;Inf;Inf;Inf
"8";100;100;1;1;10;0,0097364552053929;0,0070662518408986;0,0724970318910909;0,00486822760269645;0,0097364552053929;0,00691905143665982;0,0070662518408986;0,00724970318910909;0,00691905143665982;0,00691905143665982;0,0301786933576418;0,0153508695432184;1,53163509174348;0,00754467333941045;0,0301786933576418;0,0152402401456091;0,0153508695432184;0,0153163509174348;0,0152402401456091;0,0152402401456091
"9";100;100;1;1;4;0,00924942448229804;0,00757695151530147;0,0306904049338392;0,00462471224114902;0,00924942448229804;0,00674161865141054;0,00757695151530147;0,00767260123345981;0,00674161865141054;0,00674161865141054;0,0287517182808883;0,0158959253314273;0,254257493885041;0,00718792957022207;0,0287517182808883;0,0152743503367219;0,0158959253314273;0,0158910933678151;0,0152743503367219;0,0152743503367219
"10";100;100;1;1;2;0,00575556570977542;0,00709106579359253;0,0129581270058043;0,00287778285488771;0,00575556570977542;0,0045501742164135;0,00709106579359253;0,00647906350290217;0,0045501742164135;0,0045501742164135;0,025578989837026;0,0177537677217367;0,0711616681313774;0,00639474745925649;0,025578989837026;0,0159868686481412;0,0177537677217367;0,0177904170328443;0,0159868686481412;0,0159868686481412
"11";100;100;1;1;1;0,00406069065575032;0,007629292605698;0,00799007270985963;0,00203034532787516;0,00406069065575032;0,00406069065575032;0,007629292605698;0,00799007270985963;0,00406069065575032;0,00406069065575032;0,0227002161434621;0,0254998014696504;0,0254747321507261;0,00567505403586553;0,0227002161434621;0,0227002161434621;0,0254998014696504;0,0254747321507261;0,0227002161434621;0,0227002161434621
"12";100;100;1;1;0,1;0,000677886986364562;0,00455636836306716;0,000497115550490826;0,000338943493182281;0,000677886986364562;0,0048172921540283;0,00455636836306716;0,00497115550490826;0,0048172921540283;0,0048172921540283;0,0205962441515524;1,03916484267108;0,0104065095139997;0,00514906103788811;0,0205962441515524;1,0401103296534;1,03916484267108;1,04065095139997;1,0401103296534;1,0401103296534
