"Confidence.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_SCP";"Hedges_SCP";"Shieh_SCP";"transfoshieh_SCP"
"88";0,95;100;50;2;1;0,51908;0,5172;0,45868;0,51074
"89";0,95;100;50;2;0,1;0,61136;0,61129;0,76554;0,76647
"90";0,95;100;50;2;0,5;0,46477;0,46348;0,48802;0,52103
"91";0,95;100;50;2;0,25;0,48427;0,4836;0,60223;0,61148
"92";0,95;100;50;3;10;0,37113;0,36781;0,39049;0,38684
"93";0,95;100;50;3;4;0,38545;0,38272;0,40428;0,39141
"94";0,95;100;50;3;2;0,41177;0,40882;0,41606;0,41524
"95";0,95;100;50;3;1;0,43115;0,42825;0,40351;0,44671
"96";0,95;100;50;3;0,1;0,54141;0,54181;0,70053;0,70182
"97";0,95;100;50;3;0,5;0,3902;0,38851;0,42144;0,45281
"98";0,95;100;50;3;0,25;0,40268;0,40214;0,51559;0,52507
"99";0,95;100;50;4;10;0,33347;0,33051;0,37131;0,36719
"100";0,95;100;50;4;4;0,34696;0,34365;0,3805;0,36691
"101";0,95;100;50;4;2;0,37277;0,36955;0,39044;0,38874
"102";0,95;100;50;4;1;0,39311;0,39002;0,37931;0,42002
"103";0,95;100;50;4;0,1;0,48742;0,48758;0,64429;0,64566
"104";0,95;100;50;4;0,5;0,34782;0,34577;0,3872;0,41702
"105";0,95;100;50;4;0,25;0,3536;0,35241;0,46385;0,47405
"106";0,95;20;100;0;10;0,55335;0,55335;0,83139;0,83139
"107";0,95;20;100;0;4;0,62832;0,62832;0,83809;0,83809
"108";0,95;20;100;0;2;0,79093;0,79093;0,84953;0,84953
"109";0,95;20;100;0;1;0,95245;0,95245;0,8973;0,8973
"110";0,95;20;100;0;0,1;0,99331;0,99331;0,91545;0,91545
"111";0,95;20;100;0;0,5;0,98038;0,98038;0,95749;0,95749
"112";0,95;20;100;0;0,25;0,98975;0,98975;0,94304;0,94304
"113";0,95;20;100;1;10;0,38208;0,37797;0,72508;0,73287
"114";0,95;20;100;1;4;0,56109;0,55541;0,72695;0,77184
"115";0,95;20;100;1;2;0,71007;0,7064;0,75242;0,85124
"116";0,95;20;100;1;1;0,7828;0,78067;0,81447;0,85012
"117";0,95;20;100;1;0,1;0,98123;0,98112;0,85365;0,85046
"118";0,95;20;100;1;0,5;0,89104;0,88966;0,8396;0,79069
"119";0,95;20;100;1;0,25;0,95009;0,9495;0,82424;0,7948
"120";0,95;20;100;2;10;0,2405;0,23889;0,53343;0,53869
"121";0,95;20;100;2;4;0,33701;0,3333;0,53228;0,56559
"122";0,95;20;100;2;2;0,48875;0,48467;0,53457;0,63794
"123";0,95;20;100;2;1;0,5844;0,58184;0,57422;0,69739
"124";0,95;20;100;2;0,1;0,96215;0,96178;0,7855;0,77869
"125";0,95;20;100;2;0,5;0,73257;0,73115;0,65668;0,64211
"126";0,95;20;100;2;0,25;0,88507;0,8836;0,69493;0,65232
"127";0,95;20;100;3;10;0,20475;0,20289;0,46916;0,47391
"128";0,95;20;100;3;4;0,28091;0,27743;0,47024;0,49952
"129";0,95;20;100;3;2;0,40146;0,39737;0,46808;0,56312
"130";0,95;20;100;3;1;0,48479;0,48093;0,48889;0,62171
"131";0,95;20;100;3;0,1;0,93948;0,93882;0,71713;0,70757
"132";0,95;20;100;3;0,5;0,61294;0,61126;0,54706;0,56658
"133";0,95;20;100;3;0,25;0,80338;0,80154;0,59955;0,55728
"134";0,95;20;100;4;10;0,19329;0,19173;0,45135;0,45591
"135";0,95;20;100;4;4;0,26008;0,25672;0,4477;0,47564
"136";0,95;20;100;4;2;0,36561;0,36267;0,44289;0,5307
"137";0,95;20;100;4;1;0,42692;0,42384;0,44914;0,58455
"138";0,95;20;100;4;0,1;0,91086;0,90964;0,65201;0,64102
"139";0,95;20;100;4;0,5;0,52783;0,52576;0,48826;0,52427
"140";0,95;20;100;4;0,25;0,72081;0,71936;0,53429;0,49728
"141";0,95;20;20;0;10;0,82983;0,82983;0,83564;0,83564
"142";0,95;20;20;0;4;0,85199;0,85199;0,85508;0,85508
"143";0,95;20;20;0;2;0,90695;0,90695;0,90925;0,90925
"144";0,95;20;20;0;1;0,96482;0,96482;0,96941;0,96941
"145";0,95;20;20;0;0,1;0,83029;0,83029;0,83626;0,83626
"146";0,95;20;20;0;0,5;0,90606;0,90606;0,90831;0,90831
"147";0,95;20;20;0;0,25;0,85201;0,85201;0,85513;0,85513
"148";0,95;20;20;1;10;0,66271;0,64764;0,72878;0,72878
"149";0,95;20;20;1;4;0,7071;0,69181;0,75287;0,75287
"150";0,95;20;20;1;2;0,74993;0,7376;0,77554;0,77554
"151";0,95;20;20;1;1;0,71898;0,71205;0,73267;0,73267
"152";0,95;20;20;1;0,1;0,77598;0,77498;0,78535;0,78535
"153";0,95;20;20;1;0,5;0,69271;0,68963;0,70091;0,70091
"154";0,95;20;20;1;0,25;0,72886;0,72671;0,73825;0,73825
"155";0,95;20;20;2;10;0,43516;0,42606;0,53241;0,53241
"156";0,95;20;20;2;4;0,46894;0,45812;0,54431;0,54431
"157";0,95;20;20;2;2;0,53123;0,52052;0,57695;0,57695
"158";0,95;20;20;2;1;0,54943;0,54201;0,57741;0,57741
"159";0,95;20;20;2;0,1;0,72933;0,72725;0,74307;0,74307
"160";0,95;20;20;2;0,5;0,54077;0,53505;0,55996;0,55996
"161";0,95;20;20;2;0,25;0,61283;0,61146;0,62958;0,62958
"162";0,95;20;20;3;10;0,3626;0,35423;0,47253;0,47253
"163";0,95;20;20;3;4;0,38926;0,38019;0,47903;0,47903
"164";0,95;20;20;3;2;0,44626;0,43557;0,502;0,502
"165";0,95;20;20;3;1;0,47681;0,46814;0,513;0,513
"166";0,95;20;20;3;0,1;0,67869;0,67714;0,69606;0,69606
"167";0,95;20;20;3;0,5;0,46195;0,4564;0,49189;0,49189
"168";0,95;20;20;3;0,25;0,5214;0,52011;0,5457;0,5457
"169";0,95;20;20;4;10;0,33361;0,32523;0,44491;0,44491
"170";0,95;20;20;4;4;0,35722;0,34872;0,44994;0,44994
"171";0,95;20;20;4;2;0,41036;0,40048;0,47174;0,47174
"172";0,95;20;20;4;1;0,44016;0,43064;0,48071;0,48071
"173";0,95;20;20;4;0,1;0,62839;0,62741;0,64901;0,64901
"174";0,95;20;20;4;0,5;0,41683;0,41161;0,45594;0,45594
"175";0,95;20;20;4;0,25;0,46094;0,45863;0,49511;0,49511
"176";0,95;20;50;0;10;0,69844;0,69844;0,83379;0,83379
"177";0,95;20;50;0;4;0,73991;0,73991;0,84065;0,84065
"178";0,95;20;50;0;2;0,84651;0,84651;0,86646;0,86646
"179";0,95;20;50;0;1;0,95866;0,95866;0,93654;0,93654
