"Confidence.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_SCP";"Hedges_SCP";"Shieh_SCP";"transfoshieh_SCP"
"88";0,95;100;50;2;1;0,8444;0,84167;0,83642;0,86392
"89";0,95;100;50;2;0,1;0,82126;0,82088;0,94536;0,94555
"90";0,95;100;50;2;0,5;0,81751;0,81536;0,87985;0,89637
"91";0,95;100;50;2;0,25;0,8063;0,80538;0,92279;0,92526
"92";0,95;100;50;3;10;0,71669;0,71133;0,74202;0,73775
"93";0,95;100;50;3;4;0,73018;0,72538;0,74734;0,72982
"94";0,95;100;50;3;2;0,75939;0,7544;0,7629;0,75169
"95";0,95;100;50;3;1;0,79417;0,79067;0,78899;0,82817
"96";0,95;100;50;3;0,1;0,8084;0,80801;0,9391;0,93928
"97";0,95;100;50;3;0,5;0,7686;0,7652;0,8357;0,86035
"98";0,95;100;50;3;0,25;0,76576;0,76425;0,8951;0,90002
"99";0,95;100;50;4;10;0,6773;0,67149;0,73248;0,72769
"100";0,95;100;50;4;4;0,69235;0,68649;0,73472;0,71406
"101";0,95;100;50;4;2;0,72214;0,71659;0,7387;0,72733
"102";0,95;100;50;4;1;0,76032;0,75555;0,76357;0,80616
"103";0,95;100;50;4;0,1;0,79421;0,79369;0,93113;0,93145
"104";0,95;100;50;4;0,5;0,7304;0,72609;0,8064;0,83709
"105";0,95;100;50;4;0,25;0,72789;0,72529;0,87081;0,8772
"106";0,95;20;20;2;10;0,73838;0,72714;0,83995;0,83995
"107";0,95;50;100;0;10;0,83322;0,83322;0,95254;0,95254
"108";0,95;50;100;0;4;0,8493;0,8493;0,95235;0,95235
"109";0,95;50;100;0;2;0,89292;0,89292;0,95135;0,95135
"110";0,95;50;100;0;1;0,95056;0,95056;0,9509;0,9509
"111";0,95;50;100;0;0,1;0,99445;0,99445;0,95164;0,95164
"112";0,95;50;100;0;0,5;0,98408;0,98408;0,95244;0,95244
"113";0,95;50;100;0;0,25;0,99169;0,99169;0,95061;0,95061
"114";0,95;50;100;1;10;0,68285;0,68032;0,8673;0,86875
"115";0,95;50;100;1;4;0,72709;0,72417;0,87162;0,8789
"116";0,95;50;100;1;2;0,8156;0,8143;0,87901;0,89507
"117";0,95;50;100;1;1;0,91488;0,91431;0,90815;0,91898
"118";0,95;50;100;1;0,1;0,99446;0,99443;0,94984;0,94987
"119";0,95;50;100;1;0,5;0,96836;0,96802;0,92951;0,92764
"120";0,95;50;100;1;0,25;0,98833;0,98823;0,94258;0,94153
"121";0,95;50;100;2;10;0,57468;0,57043;0,8003;0,8023
"122";0,95;50;100;2;4;0,62326;0,61874;0,79943;0,81081
"123";0,95;50;100;2;2;0,73244;0,72765;0,80695;0,83729
"124";0,95;50;100;2;1;0,84668;0,84379;0,83734;0,86526
"125";0,95;50;100;2;0,1;0,99216;0,99217;0,94464;0,94444
"126";0,95;50;100;2;0,5;0,92737;0,92625;0,88742;0,88291
"127";0,95;50;100;2;0,25;0,97718;0,97683;0,92332;0,92021
"128";0,95;50;100;3;10;0,53151;0,52642;0,77314;0,77547
"129";0,95;50;100;3;4;0,57672;0,57163;0,77308;0,78617
"130";0,95;50;100;3;2;0,68638;0,6803;0,77215;0,80956
"131";0,95;50;100;3;1;0,79734;0,79351;0,79234;0,83111
"132";0,95;50;100;3;0,1;0,98932;0,98906;0,93716;0,9366
"133";0,95;50;100;3;0,5;0,87414;0,87182;0,84155;0,83529
"134";0,95;50;100;3;0,25;0,95453;0,95383;0,89487;0,88859
"135";0,95;50;100;4;10;0,51278;0,50731;0,75983;0,76235
"136";0,95;50;100;4;4;0,56119;0,55193;0,75995;0,77355
"137";0,95;50;100;4;2;0,66265;0,65611;0,7584;0,79614
"138";0,95;50;100;4;1;0,76034;0,75555;0,76463;0,80767
"139";0,95;50;100;4;0,1;0,98438;0,98416;0,92768;0,92706
"140";0,95;50;100;4;0,5;0,82296;0,8205;0,80392;0,796
"141";0,95;50;100;4;0,25;0,92249;0,92095;0,86358;0,8545
"142";0,95;50;20;0;10;0,99767;0,99767;0,95165;0,95165
"143";0,95;50;20;0;4;0,99613;0,99613;0,95197;0,95197
"144";0,95;50;20;0;2;0,98831;0,98831;0,95109;0,95109
"145";0,95;50;20;0;1;0,94991;0,94991;0,95164;0,95164
"146";0,95;50;20;0;0,1;0,77763;0,77763;0,95353;0,95353
"147";0,95;50;20;0;0,5;0,86871;0,86871;0,95229;0,95229
"148";0,95;50;20;0;0,25;0,80425;0,80425;0,95344;0,95344
"149";0,95;50;20;1;10;0,95433;0,95213;0,87075;0,86705
"150";0,95;50;20;1;4;0,9552;0,95312;0,88269;0,87379
"151";0,95;50;20;1;2;0,95035;0,94902;0,90106;0,90149
"152";0,95;50;20;1;1;0,92365;0,92257;0,91419;0,92903
"153";0,95;50;20;1;0,1;0,7723;0,77224;0,95255;0,95252
"154";0,95;50;20;1;0,5;0,85373;0,85351;0,9343;0,94033
"155";0,95;50;20;1;0,25;0,79519;0,79497;0,94785;0,94863
"156";0,95;50;20;2;10;0,84858;0,84257;0,79998;0,79435
"157";0,95;50;20;2;4;0,85556;0,85033;0,81225;0,79459
"158";0,95;50;20;2;2;0,86721;0,86292;0,83421;0,83654
"159";0,95;50;20;2;1;0,87016;0,86638;0,85715;0,89582
"160";0,95;50;20;2;0,1;0,76742;0,76733;0,95024;0,95039
"161";0,95;50;20;2;0,5;0,81848;0,81556;0,89493;0,91401
"162";0,95;50;20;2;0,25;0,77303;0,77176;0,93115;0,93376
"163";0,95;50;20;3;10;0,77631;0,76854;0,77257;0,76587
"164";0,95;50;20;3;4;0,78529;0,77749;0,77957;0,75744
"165";0,95;50;20;3;2;0,80717;0,79941;0,79851;0,802
"166";0,95;50;20;3;1;0,82318;0,81842;0,81985;0,87233
"167";0,95;50;20;3;0,1;0,75848;0,7579;0,94541;0,94565
"168";0,95;50;20;3;0,5;0,78308;0,77846;0,86317;0,89255
"169";0,95;50;20;3;0,25;0,74452;0,74168;0,91275;0,91801
"170";0,95;50;20;4;10;0,73771;0,72742;0,76166;0,75501
"171";0,95;50;20;4;4;0,74416;0,73412;0,76227;0,73852
"172";0,95;50;20;4;2;0,76905;0,76005;0,78102;0,7839
"173";0,95;50;20;4;1;0,79451;0,78745;0,80104;0,85992
"174";0,95;50;20;4;0,1;0,74352;0,74245;0,93949;0,9399
"175";0,95;50;20;4;0,5;0,7524;0,74615;0,83758;0,87413
"176";0,95;50;20;4;0,25;0,71203;0,70787;0,892;0,8998
"177";0,95;50;50;0;10;0,94885;0,94885;0,95158;0,95158
"178";0,95;50;50;0;4;0,94966;0,94966;0,95196;0,95196
"179";0,95;50;50;0;2;0,95048;0,95048;0,95154;0,95154
"180";0,95;50;50;0;1;0,9515;0,9515;0,95164;0,95164
"181";0,95;50;50;0;0,1;0,94866;0,94866;0,9512;0,9512
"182";0,95;50;50;0;0,5;0,95085;0,95085;0,95191;0,95191
"183";0,95;50;50;0;0,25;0,95006;0,95006;0,95224;0,95224
"184";0,95;50;50;1;10;0,8236;0,82069;0,86615;0,86615
"185";0,95;50;50;1;4;0,84182;0,83858;0,87188;0,87188
"186";0,95;50;50;1;2;0,8804;0,87838;0,89164;0,89164
"187";0,95;50;50;1;1;0,91468;0,91363;0,91575;0,91575
"188";0,95;50;50;1;0,1;0,94823;0,94841;0,9513;0,9513
"189";0,95;50;50;1;0,5;0,92949;0,92875;0,93272;0,93272
"190";0,95;50;50;1;0,25;0,94149;0,94119;0,94505;0,94505
"191";0,95;50;50;2;10;0,6981;0,69265;0,79951;0,79951
"192";0,95;50;50;2;4;0,72433;0,71827;0,80121;0,80121
"193";0,95;50;50;2;2;0,78528;0,78038;0,81769;0,81769
"194";0,95;50;50;2;1;0,8493;0,84686;0,853;0,853
"195";0,95;50;50;2;0,1;0,94241;0,9424;0,94659;0,94659
"196";0,95;50;50;2;0,5;0,87898;0,87688;0,89041;0,89041
"197";0,95;50;50;2;0,25;0,91553;0,91447;0,92527;0,92527
"198";0,95;50;50;3;10;0,64362;0,63724;0,77302;0,77302
"199";0,95;50;50;3;4;0,66974;0,66343;0,7745;0,7745
"200";0,95;50;50;3;2;0,73225;0,72578;0,7789;0,7789
"201";0,95;50;50;3;1;0,8034;0,7985;0,80948;0,80948
"202";0,95;50;50;3;0,1;0,93318;0,93307;0,9397;0,9397
"203";0,95;50;50;3;0,5;0,82773;0,82411;0,84969;0,84969
"204";0,95;50;50;3;0,25;0,88262;0,88063;0,90074;0,90074
"205";0,95;50;50;4;10;0,61823;0,61134;0,76253;0,76253
"206";0,95;50;50;4;4;0,64219;0,63453;0,75939;0,75939
"207";0,95;50;50;4;2;0,70605;0,69765;0,76131;0,76131
"208";0,95;50;50;4;1;0,77054;0,76448;0,77847;0,77847
"209";0,95;50;50;4;0,1;0,92244;0,92178;0,93179;0,93179
"210";0,95;50;50;4;0,5;0,78411;0,77894;0,81727;0,81727
"211";0,95;50;50;4;0,25;0,84122;0,83816;0,8727;0,8727
"212";0,95;20;100;0;10;0,6074;0,6074;0,95421;0,95421
"213";0,95;20;100;0;4;0,67145;0,67145;0,95374;0,95374
"214";0,95;20;100;0;2;0,80119;0,80119;0,95407;0,95407
"215";0,95;20;100;0;1;0,95021;0,95021;0,95329;0,95329
"216";0,95;20;100;0;0,1;0,99995;0,99995;0,95109;0,95109
"217";0,95;20;100;0;0,5;0,99585;0,99585;0,95139;0,95139
