"Confidence.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_SCP";"Hedges_SCP";"Shieh_SCP";"transfoshieh_SCP"
"88";0,95;100;50;2;1;0,94974;0,94451;0,94949;0,95971
"89";0,95;100;50;2;0,1;0,87609;0,87468;0,95047;0,95049
"90";0,95;100;50;2;0,5;0,90982;0,90501;0,94884;0,95415
"91";0,95;100;50;2;0,25;0,88117;0,87759;0,95064;0,95149
"92";0,95;100;50;3;10;0,93976;0,93155;0,95173;0,95044
"93";0,95;100;50;3;4;0,94334;0,93567;0,9515;0,94429
"94";0,95;100;50;3;2;0,94918;0,94276;0,95176;0,9476
"95";0,95;100;50;3;1;0,95206;0,94541;0,94904;0,96397
"96";0,95;100;50;3;0,1;0,87329;0,8711;0,95014;0,95021
"97";0,95;100;50;3;0,5;0,91028;0,9034;0,94943;0,95705
"98";0,95;100;50;3;0,25;0,87845;0,87398;0,95148;0,95284
"99";0,95;100;50;4;10;0,93264;0,92401;0,95425;0,95293
"100";0,95;100;50;4;4;0,93341;0,92487;0,95165;0,94266
"101";0,95;100;50;4;2;0,94554;0,93749;0,95348;0,94863
"102";0,95;100;50;4;1;0,95122;0,94407;0,94838;0,96563
"103";0,95;100;50;4;0,1;0,8705;0,86755;0,95076;0,95084
"104";0,95;100;50;4;0,5;0,91286;0,90468;0,94926;0,95935
"105";0,95;100;50;4;0,25;0,87452;0,86872;0,95088;0,95292
"106";0,95;20;100;0;10;0,76723;0,76723;0,94869;0,94869
"107";0,95;20;100;0;4;0,7946;0,7946;0,9487;0,9487
"108";0,95;20;100;0;2;0,85671;0,85671;0,95002;0,95002
"109";0,95;20;100;0;1;0,95014;0,95014;0,94998;0,94998
"110";0,95;20;100;0;0,1;0,9998;0,9998;0,95089;0,95089
"111";0,95;20;100;0;0,5;0,99362;0,99362;0,94909;0,94909
"112";0,95;20;100;0;0,25;0,99936;0,99936;0,9505;0,9505
"113";0,95;20;100;1;10;0,76145;0,75426;0,95283;0,95345
"114";0,95;20;100;1;4;0,79774;0,79041;0,95304;0,95688
"115";0,95;20;100;1;2;0,87052;0,86416;0,95276;0,96351
"116";0,95;20;100;1;1;0,94971;0,94688;0,95082;0,96642
"117";0,95;20;100;1;0,1;0,99978;0,99978;0,95084;0,95093
"118";0,95;20;100;1;0,5;0,99185;0,99139;0,95033;0,95773
"119";0,95;20;100;1;0,25;0,99901;0,99895;0,95075;0,95093
"120";0,95;20;100;2;10;0,75439;0,74346;0,95591;0,95669
"121";0,95;20;100;2;4;0,80191;0,79101;0,9555;0,96205
"122";0,95;20;100;2;2;0,88347;0,8739;0,95351;0,97183
"123";0,95;20;100;2;1;0,95039;0,94555;0,94809;0,9796
"124";0,95;20;100;2;0,1;0,99964;0,99962;0,94974;0,94951
"125";0,95;20;100;2;0,5;0,98913;0,98809;0,94904;0,96759
"126";0,95;20;100;2;0,25;0,99855;0,99841;0,95093;0,95103
"127";0,95;20;100;3;10;0,7539;0,742;0,95883;0,96016
"128";0,95;20;100;3;4;0,80346;0,79067;0,95691;0,96405
"129";0,95;20;100;3;2;0,89606;0,8847;0,95363;0,97586
"130";0,95;20;100;3;1;0,95148;0,94508;0,94586;0,9867
"131";0,95;20;100;3;0,1;0,99948;0,99946;0,94987;0,94938
"132";0,95;20;100;3;0,5;0,98511;0,98326;0,947;0,9747
"133";0,95;20;100;3;0,25;0,99751;0,99721;0,95238;0,95214
"134";0,95;20;100;4;10;0,75097;0,7381;0,95828;0,95981
"135";0,95;20;100;4;4;0,8091;0,79558;0,9584;0,96677
"136";0,95;20;100;4;2;0,90379;0,89156;0,95358;0,97802
"137";0,95;20;100;4;1;0,95268;0,94478;0,94599;0,98941
"138";0,95;20;100;4;0,1;0,99946;0,99943;0,94992;0,9495
"139";0,95;20;100;4;0,5;0,98075;0,97773;0,9456;0,97937
"140";0,95;20;100;4;0,25;0,99643;0,99594;0,95143;0,95168
"141";0,95;20;20;0;10;0,94627;0,94627;0,95033;0,95033
"142";0,95;20;20;0;4;0,94579;0,94579;0,94876;0,94876
"143";0,95;20;20;0;2;0,94738;0,94738;0,94872;0,94872
"144";0,95;20;20;0;1;0,94895;0,94895;0,94908;0,94908
"145";0,95;20;20;0;0,1;0,94454;0,94454;0,94857;0,94857
"146";0,95;20;20;0;0,5;0,94863;0,94863;0,94987;0,94987
"147";0,95;20;20;0;0,25;0,94693;0,94693;0,94989;0,94989
"148";0,95;20;20;1;10;0,92416;0,91302;0,9533;0,9533
"149";0,95;20;20;1;4;0,93104;0,92031;0,95316;0,95316
"150";0,95;20;20;1;2;0,94248;0,93311;0,95098;0,95098
"151";0,95;20;20;1;1;0,95069;0,94375;0,95179;0,95179
"152";0,95;20;20;1;0,1;0,94433;0,94332;0,95003;0,95003
"153";0,95;20;20;1;0,5;0,94679;0,9421;0,95159;0,95159
"154";0,95;20;20;1;0,25;0,94209;0,93915;0,94931;0,94931
"155";0,95;20;20;2;10;0,90651;0,88782;0,9565;0,9565
"156";0,95;20;20;2;4;0,91753;0,89929;0,95264;0,95264
"157";0,95;20;20;2;2;0,93855;0,92293;0,95154;0,95154
"158";0,95;20;20;2;1;0,95525;0,94258;0,95701;0,95701
"159";0,95;20;20;2;0,1;0,94236;0,94008;0,95102;0,95102
"160";0,95;20;20;2;0,5;0,94166;0,93249;0,95054;0,95054
"161";0,95;20;20;2;0,25;0,93896;0,9335;0,95048;0,95048
"162";0,95;20;20;3;10;0,89763;0,87517;0,95819;0,95819
"163";0,95;20;20;3;4;0,91044;0,88755;0,95423;0,95423
"164";0,95;20;20;3;2;0,9357;0,91581;0,95141;0,95141
"165";0,95;20;20;3;1;0,95721;0,94236;0,95933;0,95933
"166";0,95;20;20;3;0,1;0,9397;0,9364;0,95012;0,95012
"167";0,95;20;20;3;0,5;0,94066;0,92759;0,95186;0,95186
"168";0,95;20;20;3;0,25;0,93473;0,92682;0,95158;0,95158
"169";0,95;20;20;4;10;0,89372;0,86843;0,9579;0,9579
"170";0,95;20;20;4;4;0,90663;0,88113;0,95458;0,95458
"171";0,95;20;20;4;2;0,93494;0,91332;0,95241;0,95241
"172";0,95;20;20;4;1;0,95722;0,94043;0,96002;0,96002
"173";0,95;20;20;4;0,1;0,93863;0,93433;0,95085;0,95085
"174";0,95;20;20;4;0,5;0,93915;0,92319;0,95239;0,95239
"175";0,95;20;20;4;0,25;0,92921;0,91896;0,95174;0,95174
"176";0,95;20;50;0;10;0,84896;0,84896;0,94978;0,94978
"177";0,95;20;50;0;4;0,86237;0,86237;0,95039;0,95039
"178";0,95;20;50;0;2;0,8975;0,8975;0,95175;0,95175
"179";0,95;20;50;0;1;0,94998;0,94998;0,94968;0,94968
"180";0,95;20;50;0;0,1;0,99388;0,99388;0,94911;0,94911
"181";0,95;20;50;0;0,5;0,9835;0,9835;0,94994;0,94994
"182";0,95;20;50;0;0,25;0,99203;0,99203;0,95068;0,95068
"183";0,95;20;50;1;10;0,83435;0,82411;0,95372;0,95423
"184";0,95;20;50;1;4;0,85614;0,8461;0,95385;0,95645
"185";0,95;20;50;1;2;0,90003;0,89178;0,95043;0,95791
"186";0,95;20;50;1;1;0,95068;0,94646;0,95069;0,95877
"187";0,95;20;50;1;0,1;0,9938;0,99369;0,95073;0,95067
"188";0,95;20;50;1;0,5;0,97974;0,97816;0,95135;0,95206
"189";0,95;20;50;1;0,25;0,99034;0,98992;0,95043;0,95006
"190";0,95;20;50;2;10;0,82306;0,80747;0,95754;0,95839
"191";0,95;20;50;2;4;0,85132;0,83629;0,95557;0,9602
"192";0,95;20;50;2;2;0,90757;0,89493;0,95044;0,96346
