"Confidence.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_SCP";"Hedges_SCP";"Shieh_SCP";"transfoshieh_SCP"
"88";0,95;100;50;2;1;0,95159;0,95141;0,95114;0,96178
"89";0,95;100;50;2;0,1;0,83385;0,83383;0,94997;0,94994
"90";0,95;100;50;2;0,5;0,89235;0,89239;0,9507;0,9556
"91";0,95;100;50;2;0,25;0,84732;0,8471;0,94985;0,95027
"92";0,95;100;50;3;10;0,94313;0,94203;0,95308;0,95121
"93";0,95;100;50;3;4;0,94665;0,94586;0,9527;0,94441
"94";0,95;100;50;3;2;0,9543;0,95427;0,95299;0,94726
"95";0,95;100;50;3;1;0,95186;0,95172;0,95202;0,9668
"96";0,95;100;50;3;0,1;0,83041;0,83033;0,94997;0,94999
"97";0,95;100;50;3;0,5;0,89378;0,89395;0,95102;0,95927
"98";0,95;100;50;3;0,25;0,84088;0,84051;0,95004;0,95142
"99";0,95;100;50;4;10;0,92787;0,92708;0,95322;0,95118
"100";0,95;100;50;4;4;0,93345;0,93306;0,9525;0,94238
"101";0,95;100;50;4;2;0,94635;0,94602;0,95443;0,948
"102";0,95;100;50;4;1;0,95268;0,9523;0,95278;0,97117
"103";0,95;100;50;4;0,1;0,83166;0,83175;0,95074;0,95081
"104";0,95;100;50;4;0,5;0,89511;0,89502;0,95177;0,96262
"105";0,95;100;50;4;0,25;0,83887;0,83856;0,95027;0,95238
"106";0,95;20;100;0;10;0,61801;0,61801;0,94916;0,94916
"107";0,95;20;100;0;4;0,67382;0,67382;0,95006;0,95006
"108";0,95;20;100;0;2;0,79917;0,79917;0,94912;0,94912
"109";0,95;20;100;0;1;0,95005;0,95005;0,94911;0,94911
"110";0,95;20;100;0;0,1;0,99996;0,99996;0,94992;0,94992
"111";0,95;20;100;0;0,5;0,99698;0,99698;0,94928;0,94928
"112";0,95;20;100;0;0,25;0,99975;0,99975;0,95001;0,95001
"113";0,95;20;100;1;10;0,61775;0,6188;0,95402;0,9545
"114";0,95;20;100;1;4;0,68633;0,68676;0,95509;0,9578
"115";0,95;20;100;1;2;0,81329;0,81361;0,95339;0,96184
