"Confidence.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_SCP";"Hedges_SCP";"Shieh_SCP";"transfoshieh_SCP"
"1";0,95;100;100;0;10;0,94587;0,94587;0,94719;0,94719
"2";0,95;100;100;0;4;0,94741;0,94741;0,94839;0,94839
"3";0,95;100;100;0;2;0,94869;0,94869;0,94924;0,94924
"4";0,95;100;100;0;1;0,95149;0,95149;0,95163;0,95163
"5";0,95;100;100;0;0,1;0,94655;0,94655;0,94778;0,94778
"6";0,95;100;100;0;0,5;0,94924;0,94924;0,94973;0,94973
"7";0,95;100;100;0;0,25;0,94802;0,94802;0,94894;0,94894
"8";0,95;100;100;1;10;0,68861;0,68671;0,73626;0,73626
"9";0,95;100;100;1;4;0,71224;0,71036;0,74994;0,74994
"10";0,95;100;100;1;2;0,77802;0,77628;0,79167;0,79167
"11";0,95;100;100;1;1;0,89039;0,88931;0,89125;0,89125
"12";0,95;100;100;1;0,1;0,95835;0,95845;0,95949;0,95949
"13";0,95;100;100;1;0,5;0,95526;0,95501;0,9576;0,9576
"14";0,95;100;100;1;0,25;0,96573;0,96567;0,96764;0,96764
"15";0,95;100;100;2;10;0,5619;0,55856;0,6627;0,6627
"16";0,95;100;100;2;4;0,58961;0,58515;0,67005;0,67005
"17";0,95;100;100;2;2;0,65897;0,65543;0,69537;0,69537
"18";0,95;100;100;2;1;0,79081;0,78806;0,79363;0,79363
"19";0,95;100;100;2;0,1;0,96609;0,96603;0,96774;0,96774
"20";0,95;100;100;2;0,5;0,90688;0,90576;0,9171;0,9171
"21";0,95;100;100;2;0,25;0,9627;0,96245;0,96779;0,96779
"22";0,95;100;100;3;10;0,52131;0,51712;0,64613;0,64613
"23";0,95;100;100;3;4;0,54091;0,53668;0,64312;0,64312
"24";0,95;100;100;3;2;0,6081;0,6035;0,65847;0,65847
"25";0,95;100;100;3;1;0,72464;0,7195;0,72921;0,72921
"26";0,95;100;100;3;0,1;0,96941;0,96933;0,97206;0,97206
"27";0,95;100;100;3;0,5;0,83584;0,83312;0,85791;0,85791
"28";0,95;100;100;3;0,25;0,93486;0,93367;0,94712;0,94712
"29";0,95;100;100;4;10;0,50216;0,4975;0,64174;0,64174
"30";0,95;100;100;4;4;0,52469;0,52015;0,64094;0,64094
"31";0,95;100;100;4;2;0,58533;0,57969;0,64274;0,64274
"32";0,95;100;100;4;1;0,68655;0,68136;0,69264;0,69264
"33";0,95;100;100;4;0,1;0,96754;0,96752;0,97166;0,97166
"34";0,95;100;100;4;0,5;0,77328;0,76857;0,80649;0,80649
"35";0,95;100;100;4;0,25;0,8921;0,88956;0,91668;0,91668
"36";0,95;100;20;0;10;0,9999;0,9999;0,94753;0,94753
"37";0,95;100;20;0;4;0,99945;0,99945;0,95141;0,95141
"38";0,95;100;20;0;2;0,99459;0,99459;0,95244;0,95244
"39";0,95;100;20;0;1;0,94857;0,94857;0,94739;0,94739
"40";0,95;100;20;0;0,1;0,60588;0,60588;0,94802;0,94802
"41";0,95;100;20;0;0,5;0,80509;0,80509;0,94586;0,94586
"42";0,95;100;20;0;0,25;0,66817;0,66817;0,94614;0,94614
"43";0,95;100;20;1;10;0,9582;0,95722;0,74668;0,73582
"44";0,95;100;20;1;4;0,95672;0,95598;0,80642;0,78012
"45";0,95;100;20;1;2;0,9491;0,94813;0,88915;0,88633
"46";0,95;100;20;1;1;0,91764;0,91656;0,94546;0,95194
"47";0,95;100;20;1;0,1;0,6291;0,62916;0,95456;0,95447
"48";0,95;100;20;1;0,5;0,82615;0,82585;0,96539;0,96533
"49";0,95;100;20;1;0,25;0,71149;0,71116;0,96206;0,96173
"50";0,95;100;20;2;10;0,83809;0,83422;0,6698;0,65602
"51";0,95;100;20;2;4;0,84029;0,83685;0,71676;0,69442
"52";0,95;100;20;2;2;0,84504;0,84177;0,79961;0,84019
"53";0,95;100;20;2;1;0,85147;0,84888;0,87905;0,9387
"54";0,95;100;20;2;0,1;0,64582;0,64599;0,96199;0,96193
"55";0,95;100;20;2;0,5;0,81447;0,81243;0,94658;0,9634
"56";0,95;100;20;2;0,25;0,73116;0,73053;0,96764;0,96875
"57";0,95;100;20;3;10;0,74878;0,74319;0,64709;0,63198
"58";0,95;100;20;3;4;0,75123;0,7461;0,68236;0,66477
"59";0,95;100;20;3;2;0,76564;0,75959;0,75567;0,8204
"60";0,95;100;20;3;1;0,79112;0,78677;0,82762;0,92301
"61";0,95;100;20;3;0,1;0,65908;0,65863;0,96353;0,96351
"62";0,95;100;20;3;0,5;0,78252;0,77924;0,90894;0,9462
"63";0,95;100;20;3;0,25;0,7236;0,72221;0,9614;0,96567
"64";0,95;100;20;4;10;0,69716;0,69046;0,64335;0,62805
"65";0,95;100;20;4;4;0,70361;0,69612;0,67378;0,65806
"66";0,95;100;20;4;2;0,71454;0,70849;0,73843;0,81513
"67";0,95;100;20;4;1;0,75002;0,74377;0,80367;0,91532
"68";0,95;100;20;4;0,1;0,6689;0,66839;0,96667;0,96669
"69";0,95;100;20;4;0,5;0,74944;0,74482;0,87516;0,9265
"70";0,95;100;20;4;0,25;0,70628;0,70348;0,94828;0,9561
"71";0,95;100;50;0;10;0,99178;0,99178;0,94797;0,94797
"72";0,95;100;50;0;4;0,9898;0,9898;0,94807;0,94807
"73";0,95;100;50;0;2;0,98232;0,98232;0,95143;0,95143
"74";0,95;100;50;0;1;0,95071;0,95071;0,95054;0,95054
"75";0,95;100;50;0;0,1;0,82777;0,82777;0,94688;0,94688
"76";0,95;100;50;0;0,5;0,89043;0,89043;0,94888;0,94888
"77";0,95;100;50;0;0,25;0,8492;0,8492;0,94688;0,94688
"78";0,95;100;50;1;10;0,83037;0,8284;0,7399;0,73687
