"n1";"n2";"n1/n2";"m1-m2";"sd1/sd2";"bias_Cohen";"bias_Hedge";"bias_Glass1";"bias_Glass2";"bias_Shieh";"bias_Shieh_corr";"relbias_Cohen";"relbias_Hedge";"relbias_Glass1";"relbias_Glass2";"relbias_Shieh";"relbias_Shieh_corr";"eff_Cohen";"eff_Hedge";"eff_Glass1";"eff_Glass2";"eff_Shieh";"eff_Shieh_corr";"releff_Cohen";"releff_Hedge";"releff_Glass1";"releff_Glass2";"releff_Shieh";"releff_Shieh_corr"
"1";100;100;1;0;10;0,0102721299229091;0,0102331711494973;0,00738777097319631;-0,00671842962593303;0,00513606496145455;0,00513606496145455;Inf;Inf;Inf;-Inf;Inf;Inf;0,0208115527631664;0,0206539895233698;0,0105296838738841;1,12107848929553;0,00520288819079159;0,00520288819079159;Inf;Inf;Inf;Inf;Inf;Inf
"2";100;100;1;0;4;0,00931363932455175;0,00927831578729049;0,00738143327559426;-0,00653837919402523;0,00465681966227588;0,00465681966227588;Inf;Inf;Inf;-Inf;Inf;Inf;0,0208257038790843;0,020668033501887;0,0111917269067028;0,18906405604527;0,00520642596977109;0,00520642596977109;Inf;Inf;Inf;Inf;Inf;Inf
"3";100;100;1;0;2;0,00620745963592313;0,00618391680544554;0,0072438337803015;-0,00740174226613698;0,00310372981796156;0,00310372981796156;Inf;Inf;Inf;-Inf;Inf;Inf;0,0203403664697936;0,0201863705581911;0,0131682449366267;0,0547319524713075;0,00508509161744841;0,00508509161744841;Inf;Inf;Inf;Inf;Inf;Inf
"4";100;100;1;0;1;0,00011633734933736;0,000115896120452389;0,00741666428307208;-0,00715815101793891;5,81686746686798e-05;5,81686746686798e-05;Inf;Inf;Inf;-Inf;Inf;Inf;0,0201742430520096;0,0200215048526119;0,0216158835682023;0,0215280309705563;0,00504356076300241;0,00504356076300241;Inf;Inf;Inf;Inf;Inf;Inf
"5";100;100;1;0;0,1;-0,0103049048719128;-0,0102658217940168;0,00611720660258882;-0,00741081053705609;-0,00515245243595639;-0,00515245243595639;-Inf;-Inf;Inf;-Inf;-Inf;-Inf;0,020783195068272;0,0206258465231852;1,12374271095865;0,0105156588198766;0,00519579876706799;0,00519579876706799;Inf;Inf;Inf;Inf;Inf;Inf
"6";100;100;1;0;0,5;-0,00657918451634818;-0,00655423185699414;0,00675267848644919;-0,00756667197493659;-0,00328959225817409;-0,00328959225817409;-Inf;-Inf;Inf;-Inf;-Inf;-Inf;0,0205678939699325;0,0204121754588452;0,0553121546776791;0,0133316998747067;0,00514197349248312;0,00514197349248312;Inf;Inf;Inf;Inf;Inf;Inf
"7";100;100;1;0;0,25;-0,00854721108233905;-0,00851479435257038;0,00920792249444101;-0,00682177361667897;-0,00427360554116952;-0,00427360554116952;-Inf;-Inf;Inf;-Inf;-Inf;-Inf;0,0207437261303471;0,0205866764026432;0,187926876533489;0,0111459407647662;0,00518593153258677;0,00518593153258677;Inf;Inf;Inf;Inf;Inf;Inf
"8";100;100;1;1;10;0,0702189202186574;0,0646155801060937;0,0507825867212732;0,434093543068135;0,0351094601093287;0,0351094601093287;0,0498999184580542;0,0459179971491107;0,0507825867212732;0,0434093543068135;0,0498999184580542;0,0498999184580542;0,0951561431928567;0,0944357207246907;0,0487870902392272;3,36906149334944;0,0237890357982142;0,0237890357982142;0,0480538523123926;0,0476900389659688;0,0487870902392272;0,0336906149334944;0,0480538523123926;0,0480538523123926
"9";100;100;1;1;4;0,0628245044083882;0,0573827350573826;0,0507485922981461;0,167661556738007;0,0314122522041941;0,0314122522041941;0,045790832877851;0,0418244959642813;0,0507485922981461;0,0419153891845017;0,045790832877851;0,045790832877851;0,0850946174309551;0,08445037027822;0,0493056529403898;0,518751900700195;0,0212736543577388;0,0212736543577388;0,0452065155101949;0,0448642592103044;0,0493056529403898;0,0324219937937622;0,0452065155101949;0,0452065155101949
"10";100;100;1;1;2;0,0463951340752888;0,0414217856626113;0,0508080757420202;0,0803311607844637;0,0231975670376444;0,0231975670376444;0,0366785740067007;0,0327467968612897;0,0508080757420202;0,0401655803922318;0,0366785740067007;0,0366785740067007;0,0626360067545675;0,062161792635877;0,0512474915931782;0,123331476790729;0,0156590016886419;0,0156590016886419;0,0391475042216047;0,0388511203974231;0,0512474915931782;0,0308328691976822;0,0391475042216047;0,0391475042216047
