"n1";"n2";"m1";"m2";"var1";"var2";"skew";"kurt";"Average_m1";"Stdev_m1";"Average_m2";"Stdev_m2";"Average_var1";"Stdev_var1";"Average_var2";"Stdev_var2";"Average_skew1";"Stdev_skew1";"Average_skew2";"Stdev_skew2";"Average_kurt1";"Stdev_kurt1";"Average_kurt2";"Stdev_kurt2"
"20";100;100;2;0;1;4;6,32;95,75;2,00049097359176;0,10031185003994;-0,000119650045138642;0,200863783116032;1,00381486534273;0,947343297484925;4,01356448518325;5,97909510235211;18,6337860714214;14,1875375736944;18,6398282588371;14,199473103432;3,75759469594192;1,27291563301722;3,75772153422788;1,27369579610612
"21";100;100;2;0;1;16;6,32;95,75;1,99987142831659;0,0999383051188945;-0,000323365711560117;0,400453480567439;0,998308660620176;0,91671916514831;16,0111311508834;15,0121127028913;18,6545153861147;14,2487706159217;18,6673825177299;14,288406913086;3,75812914381024;1,27667965562801;3,75882116567646;1,2794623273174
"22";100;100;3;0;1;0,01;6,32;95,75;2,99965985034265;0,09970733190763;-4,06642232179997e-06;0,00996653654288236;0,996938277869648;0,971107860130985;0,00998982607448931;0,00878631257916575;18,5642980737539;14,1231719771551;18,6725407274244;14,2429161343333;3,75104542686836;1,26821249803914;3,76138937764301;1,27652829039083
"23";100;100;3;0;1;0,0625;6,32;95,75;3,00024387731473;0,100898401480139;5,38766193265104e-05;0,0249967305069083;1,00198188708945;1,02249059868545;0,0626156204760556;0,0590464266483402;18,6103268712756;14,1381453162494;18,661884729157;14,1937987515021;3,7550334271349;1,26969145800654;3,76083356245438;1,27271316742694
"24";100;100;3;0;1;0,25;6,32;95,75;2,9994188780159;0,100000244741957;-6,5826911673566e-05;0,0500001598303297;0,998180650590646;0,960780295993735;0,251017396555336;0,262775674595159;18,6166037555899;14,1743095121648;18,6808368776654;14,2967220050172;3,7559361352751;1,27185510791599;3,76056991678356;1,27971419135828
"25";100;100;3;0;1;1;6,32;95,75;2,99997502224593;0,100066043237046;-0,000191238039638336;0,0999891734389894;1,00111585080191;0,936147816199761;1,00072728995757;1,0163707086561;18,6367545985873;14,2525951900282;18,5863969993464;14,1486530002236;3,75705429735704;1,27763486828561;3,75324471245587;1,26910558673287
"26";100;100;3;0;1;100;6,32;95,75;2,99967385505482;0,0999980283248887;-0,000497808704414667;0,997452796034789;1,0010670657606;0,981544512053983;99,9743680375804;96,5657977190438;18,6097634645761;14,2260458098574;18,5746370075496;14,1791387714253;3,75464444205077;1,27507035847772;3,75186122893342;1,27131989750898
"27";100;100;3;0;1;4;6,32;95,75;2,99965185203927;0,0994500826233697;-0,000199769091565318;0,200133121550254;0,997885575815893;0,914786334444543;3,99370802161521;3,66332162598826;18,7114945921818;14,2233121851685;18,5955132906866;14,1794686389926;3,76389392242101;1,27510170684526;3,75424845226565;1,27122113377042
"28";100;100;3;0;1;16;6,32;95,75;3,00015045261924;0,0999451763618601;-0,00130869033768699;0,399208993818608;1,00048034535251;0,91210108356145;15,9523390193171;14,2435238235847;18,6533639476907;14,212992705134;18,6303437493411;14,1692950988864;3,75878045869676;1,27448590599582;3,75742849502295;1,27186625036603
"29";100;100;4;0;1;0,01;6,32;95,75;4,00003137407875;0,100200356443891;2,6000845896285e-05;0,00996456783024214;0,999921723750409;0,927294000557536;0,00999119572057253;0,00913387225471654;18,617746779112;14,1671589311675;18,6228606445739;14,1618423041844;3,75650355673688;1,27002771688388;3,7564471440781;1,27103135246785
"30";100;100;4;0;1;0,0625;6,32;95,75;4,00068562941204;0,100383796966547;-5,17088537480969e-05;0,024950860177971;1,00611726644062;0,969570588868129;0,0624601553916282;0,0598145114974665;18,6898103930883;14,2118481935521;18,6611649434252;14,1959002074356;3,76305810912993;1,27380845341984;3,75937515997401;1,27331785644618
"31";100;100;4;0;1;0,25;6,32;95,75;3,99996537409044;0,100050562993223;0,000209870816541244;0,0498111849452628;1,00117229387879;0,917367288193267;0,24968281860644;0,235075032169564;18,668723207843;14,2474236316875;18,6136361993391;14,1213133197508;3,76018577110367;1,2767044963074;3,75637613974754;1,26691082753691
"32";100;100;4;0;1;1;6,32;95,75;3,99969941336368;0,0997335989844314;-0,000475777473573496;0,0996617985955356;0,995938139624356;0,895880517004534;0,994558554126067;0,895944586729567;18,5736509228255;14,1134048883301;18,5399468705856;14,0348102869122;3,75231376564937;1,26717848287317;3,75093313523097;1,2619701270339
"33";100;100;4;0;1;100;6,32;95,75;4,00007311233404;0,099727718787823;0,00195419750155673;1,00037838893263;1,00021071103429;0,928921701986653;100,008410567899;89,7343613977526;18,6764109975631;14,1989329497391;18,648893065593;14,1886571183637;3,76090821484826;1,27167643712052;3,75901826790021;1,27205504871074
"34";100;100;4;0;1;4;6,32;95,75;4,00005452525741;0,100050658729221;-0,000222070872286308;0,199749535335095;0,997724429074306;0,953250033528246;4,00553929488768;3,78316998933745;18,5891526643868;14,1236264624932;18,7118355026185;14,2816044761277;3,75384621529603;1,26761829714323;3,76370690635592;1,27920171727755
"35";100;100;4;0;1;16;6,32;95,75;3,99986923543194;0,0997961420675199;-0,00188911002141658;0,398669606665552;0,998128081502164;0,901858835214756;15,952102611278;14,8267429365803;18,5929288144114;14,1199992112836;18,6652106203327;14,2208952950735;3,75473906086202;1,26687240008272;3,7599644998285;1,27428328471127
"36";100;20;0;0;1;0,01;6,32;95,75;2,59114670633859e-05;0,0999436304927667;-3,0335742765581e-05;0,0224043447975524;1,00363987468833;0,964432209585858;0,010040366962605;0,0187813654677792;18,6620974007328;14,2594362264439;6,79388028130272;5,14055876110045;3,75995723965287;1,2772357447227;2,47095434373706;0,842251478962819
