"n1";"n2";"m1";"m2";"var1";"var2";"skew";"kurt";"Average_m1";"Stdev_m1";"Average_m2";"Stdev_m2";"Average_var1";"Stdev_var1";"Average_var2";"Stdev_var2";"Average_skew1";"Stdev_skew1";"Average_skew2";"Stdev_skew2";"Average_kurt1";"Stdev_kurt1";"Average_kurt2";"Stdev_kurt2"
"1";100;100;0;0;1;0,01;2,08;95,75;0,000154072939629831;0,0997585479328288;3,62279764970593e-05;0,00998877097244843;0,997807130489237;0,527073754279989;0,00997972273146394;0,00545237558380263;4,95173968727029;7,41545353357145;4,96377409737453;7,52692749084427;-1,10167156066981;1,07949766925273;-1,10233728995637;1,08882140753637
"2";100;100;0;0;1;0,0625;2,08;95,75;7,02049125228787e-05;0,100271482996533;-3,87222604997663e-05;0,0251352779227963;1,00032612427347;0,786853247011606;0,0625459498370636;0,030972433973198;4,96229279121158;7,52608953773024;4,9774905040988;7,52727675065882;-1,10651982324067;1,08350436754442;-1,10125671787327;1,09019352201226
"3";100;100;0;0;1;0,25;2,08;95,75;-1,66713277569923e-05;0,0995397840577811;-1,74080241124651e-05;0,0500146101141614;0,999130204182605;0,592520089154653;0,250109165728314;0,144788060476762;4,95602400199051;7,47048612423634;4,94919918951089;7,41267289149494;-1,10055353291582;1,08126449081986;-1,10502461599653;1,07584073297452
"4";100;100;0;0;1;1;2,08;95,75;-0,000223966908951258;0,0999076370501209;-0,000364376484090214;0,100478101206571;1,00076325404292;0,643456961591378;1,00109854429924;0,584127131828537;4,97283835441529;7,50298172608646;4,97640352234599;7,45357567512356;-1,10174533657252;1,08871698403567;-1,10244908511342;1,08557016283134
"5";100;100;0;0;1;100;2,08;95,75;4,76053146209138e-05;0,10051339723293;0,00123585867064429;0,999681817826553;1,00300669745985;0,591028696023386;100,220446054261;76,5065217001262;5,00479677614693;7,62110640769144;4,99927800518384;7,58003049827848;-1,10761775830184;1,09632239081938;-1,10583640275857;1,09291461958417
"6";100;100;0;0;1;4;2,08;95,75;-0,000188433555155135;0,100431050465918;0,000435866121068099;0,200329812732806;1,00417461400872;0,575322506802662;3,99952738980743;2,19930567476893;5,01964607596625;7,67635001717047;4,97634547019867;7,45708669371832;-1,10697484870592;1,10014221267089;-1,10452813353877;1,08389534618664
"7";100;100;0;0;1;16;2,08;95,75;-0,000222230332137198;0,100226981091179;-0,00204901607572648;0,399233719122161;0,998580180872822;0,503614517545331;15,9539038470399;7,3932172587651;4,9740928390182;7,43171955387578;4,95544299698833;7,43274249030856;-1,10355601337637;1,08357409612021;-1,10338710334212;1,08045996392589
"8";100;100;1;0;1;0,01;2,08;95,75;0,999889241182144;0,100032465245453;9,5551438555643e-05;0,00997731415649111;1,00115747488346;0,599128470732724;0,00996992538294585;0,00737968915858483;5,005876625623;7,59176624996658;4,93468645409694;7,36471433720757;-1,10559223316061;1,09487799217779;-1,1003116967328;1,07465229218749
"9";100;100;1;0;1;0,0625;2,08;95,75;0,999644855520671;0,0999839730411087;0,000115794794523302;0,0250125116221724;0,999587669252532;0,508980660338938;0,0624462167492375;0,0397485421277603;4,94008105945641;7,48467958900262;4,96578810098397;7,48456250785865;-1,1020586468291;1,0818273173634;-1,10424395036715;1,08418902564683
"10";100;100;1;0;1;0,25;2,08;95,75;0,999759340521381;0,0997612514062058;-0,000115222018192166;0,0499688443949059;1,00112343715335;0,639566335490748;0,249911000590279;0,138861214804831;4,96353895581509;7,50288147157804;4,96444903063055;7,55614340871115;-1,10482336488838;1,08410465800366;-1,10541293331745;1,08614918161705
"11";100;100;1;0;1;1;2,08;95,75;1,00073735895785;0,0997822375169887;-0,000273357747336442;0,100022225395312;0,997663807939411;0,518268477210719;1,0026445593689;0,788863305392556;4,9320803474186;7,42993195181534;4,96406333298425;7,49557286137325;-1,09496659589829;1,0800470276392;-1,10520312235497;1,08524683387247
"12";100;100;1;0;1;100;2,08;95,75;0,999943937253371;0,100331197604923;-0,00233385403022517;1,00135923009506;0,997244249949818;0,508217946335206;99,9127545777398;56,6183913001477;4,94200170179516;7,43878112515402;4,93310277940727;7,46741415425073;-1,09680822332497;1,0812406286114;-1,09885749245912;1,07970020577001
"13";100;100;1;0;1;4;2,08;95,75;0,999929521734946;0,100218580804356;-0,00118989173476738;0,199770539486387;1,0044278148126;1,15239051114524;4,00138937309917;2,31258240396862;4,98970877704455;7,52189963385869;4,962757354743;7,48755306941309;-1,10893357769937;1,08681721605618;-1,10340757375599;1,08552560705151
"14";100;100;1;0;1;16;2,08;95,75;1,0000465152207;0,10005099321956;-0,000694183492649191;0,399699429505693;0,99778320507651;0,522975570823078;16,0049296013021;8,12594813144373;4,94118435526175;7,43421338884598;4,97890008372971;7,51251305924776;-1,10100162676516;1,0806927640493;-1,10313338093872;1,08853194708086
"15";100;100;2;0;1;0,01;2,08;95,75;1,99990763102447;0,0999227915153922;9,95916993271742e-06;0,00999168785505368;0,999735539646521;0,529977055170595;0,010005291320537;0,00581376878067509;4,94992369579019;7,50939016224066;4,963785562888;7,46052446665751;-1,10314691659898;1,0828266665759;-1,10491848590392;1,08040747540121
"16";100;100;2;0;1;0,0625;2,08;95,75;2,00011294820487;0,0998348718536521;-4,01955024385951e-05;0,0249328617976921;0,997936233761335;0,498044840679976;0,0626642378815977;0,0420448270733942;4,93749907913453;7,38501240229975;4,97825362259749;7,56191868613105;-1,10128646990046;1,07625606114191;-1,10137392457528;1,09200457016716
"17";100;100;2;0;1;0,25;2,08;95,75;1,99994917558304;0,100175279526806;7,78235669192112e-05;0,0500612804648457;1,00099247200427;0,826136155343072;0,249298694845105;0,116858349134953;4,97420766044554;7,49543983677429;4,93409018892683;7,39994542871909;-1,10277197783833;1,08680071852162;-1,09884689541753;1,07860565090758
"18";100;100;2;0;1;1;2,08;95,75;2,00009545438462;0,100078684670196;9,18738761811199e-05;0,0995611666410908;1,00061144767502;0,549209825415518;0,997578885705999;0,497206793897851;4,94922604184634;7,40375532155008;4,94671621030919;7,48554422065047;-1,10332051421907;1,07637779832979;-1,09830219976913;1,08442808143631
"19";100;100;2;0;1;100;2,08;95,75;2,0000189018677;0,100184598366888;0,00499858788477208;1,00259899027454;1,00113635238632;0,646512157357914;99,8199364956406;51,6906588861242;4,96337427970472;7,4172972634479;4,94820516094772;7,48962280475018;-1,10699228225551;1,08010447033772;-1,09953939902684;1,08464231651862
"20";100;100;2;0;1;4;2,08;95,75;1,99986731637493;0,0998257515095054;0,000565512291885169;0,199783325015928;1,00109805076534;0,538385258572056;3,9983785128233;2,07634986398452;4,97625500637772;7,5123803963229;4,95474564611064;7,40674323172627;-1,10484647988191;1,08526712904842;-1,10237581492951;1,07936791417506
"21";100;100;2;0;1;16;2,08;95,75;1,99989851760648;0,0999623406533974;-0,00168615250723834;0,397885755343268;0,998670794116488;0,494308754735669;16,0407939995987;8,97638944850284;4,94112333409577;7,42967591392224;4,98107216068332;7,521300028435;-1,10211699309202;1,07707991224671;-1,10886881717706;1,08434182603403
"22";100;100;3;0;1;0,01;2,08;95,75;3,00012837076609;0,0999704550278287;-1,67951053350112e-05;0,00996777824663867;0,999474220503964;0,573090986387311;0,0099945037256239;0,00523362661575424;4,94008809253877;7,42926760169581;4,98235507998448;7,5350509685655;-1,10415703822002;1,07656289517888;-1,10266476526838;1,09073707535859
"23";100;100;3;0;1;0,0625;2,08;95,75;3,00049154571708;0,0999997046000029;1,00253347584399e-05;0,0249888199555092;0,996515285973568;0,498767116907213;0,0622918245442498;0,0311549026617908;4,93374741467654;7,4086758366513;4,93046251020534;7,46537894744982;-1,0989606232325;1,07870205301857;-1,09807637650265;1,08025956531735
"24";100;100;3;0;1;0,25;2,08;95,75;3,0005012258415;0,100450061256465;-0,000109394446783544;0,0501129468601601;1,00385861858604;0,838500536729297;0,250331367614969;0,186534135230044;4,99122379607437;7,57691274335152;4,94753535130825;7,40641441283086;-1,10493578440497;1,09362080439619;-1,10207562273637;1,07794700394861
"25";100;100;3;0;1;1;2,08;95,75;2,99961560556486;0,100330753490372;-0,000388317085752885;0,100561448842244;1,00550690508349;1,14699070208489;1,00459213122937;0,697166537251232;4,98171554723043;7,50673132813997;5,00953155810086;7,66764687734685;-1,10460053374186;1,08819262808397;-1,10723230183564;1,09716367791439
"26";100;100;3;0;1;100;2,08;95,75;2,99939708188799;0,0999344809772285;0,00306933809539137;0,999866623369736;1,00329520934634;0,521880835973172;99,9580732743687;60,3007038718622;5,0430439814992;7,69581996100391;4,97663559434771;7,49405502119065;-1,1138783283659;1,10022127436968;-1,09971540439438;1,08837844153343
"27";100;100;3;0;1;4;2,08;95,75;3,00019339049121;0,0997419682946108;-0,000391084272373139;0,199226001951197;0,998142515777131;0,492430633535064;4,0013962126378;2,07359491420959;4,93533349688072;7,44941304175892;4,99463032989421;7,51793961748299;-1,09926284383624;1,08052185000833;-1,10457324856754;1,09019041770112
"28";100;100;3;0;1;16;2,08;95,75;2,99970491338763;0,0998798931350663;0,00045381981125579;0,399465539307762;0,999680526225988;0,553956329922529;15,9692189553845;8,24328398431303;4,97097072078539;7,45975644006847;4,96568836188565;7,4717085187619;-1,10838423990585;1,0809402780928;-1,10295676777136;1,08465986064903
"29";100;100;4;0;1;0,01;2,08;95,75;3,99982616818244;0,0997667813024719;-3,92188013191003e-06;0,0100657281835915;0,999529032235054;0,534528146687124;0,00999551503134062;0,00519766140688855;4,97846340108371;7,49710921000501;4,97352161409293;7,47211213701808;-1,10636146743136;1,08498433014068;-1,10552282038911;1,08479640059771
"30";100;100;4;0;1;0,0625;2,08;95,75;4,0004195535732;0,0995760771357259;-6,24013881500147e-05;0,0250216993350016;0,998197593037357;0,501400320334109;0,0625889277117457;0,0359301748152422;4,97566288636248;7,50161868302967;4,97611516190433;7,52278762615379;-1,10736020456171;1,08238431724914;-1,10495471992324;1,08690296758897
"31";100;100;4;0;1;0,25;2,08;95,75;3,99971938367501;0,0998981500525584;-4,01879596511085e-06;0,0500274104437411;0,998435787793281;0,54355653219144;0,250265336855911;0,146518434833492;4,93876925389798;7,38727057947572;4,98140403310701;7,52537302631872;-1,09963712498959;1,07747479756229;-1,10585435029191;1,08707249993277
"32";100;100;4;0;1;1;2,08;95,75;3,99975457450824;0,0999785161753728;6,57297810925752e-05;0,100422621907554;1,00135165526581;0,738675057266875;1,0007230334549;0,675875960749586;4,98244796469465;7,54692427655917;4,98073873270673;7,49940040477745;-1,10593396746985;1,08690316822575;-1,10613862728253;1,08572246835371
"33";100;100;4;0;1;100;2,08;95,75;4,00021905124857;0,100217116336349;0,00130285644795937;1,00265257046373;1,00195865275867;1,20859489327684;100,277027008442;61,520003931001;4,95205266956508;7,51305572119193;4,9836424422452;7,54388298814588;-1,09766727038682;1,08830555532875;-1,10780695469852;1,08671452920354
"34";100;100;4;0;1;4;2,08;95,75;4,00061820307166;0,0999663443821825;0,000419365437028728;0,199473707190442;0,995496671391278;0,46432629557951;4,0009705247204;2,46810188958763;4,93392318753476;7,34950029906733;4,98612251245542;7,50634441600843;-1,09650012174141;1,07637382289781;-1,1051890822301;1,08728646935811
"35";100;100;4;0;1;16;2,08;95,75;3,99991453220591;0,0996024321267694;-0,00185926712448664;0,399243541072366;0,998191828922917;0,518764708406236;16,0387580055881;13,1007192696907;4,95488401240805;7,4567488696387;4,96289337417628;7,48931825362992;-1,10145342704791;1,08171286825544;-1,10231610320816;1,08556845576729
"36";100;20;0;0;1;0,01;2,08;95,75;-7,27941218114515e-05;0,0999533200895504;-6,27381320345116e-05;0,0225057399925365;0,999957533486149;0,520975266575193;0,01003129758482;0,0138370686267188;4,99741108099896;7,51290867827863;1,70415145910396;2,88377049532024;-1,10672250047624;1,08815749269912;-0,601915384540636;0,956558703975728
"37";100;20;0;0;1;0,0625;2,08;95,75;-0,000169442106168976;0,100358499165547;-0,000139287070357183;0,0557821207445296;0,999875023274465;0,735831029356695;0,0623827528263178;0,0691257414595654;4,9369995573386;7,40554954090721;1,71251993587769;2,88023329809267;-1,09879898864094;1,07800593990249;-0,605984491788519;0,954604618164626
"38";100;20;0;0;1;0,25;2,08;95,75;-0,000262729013352227;0,0997697337580733;0,000959752473247532;0,111697758077772;1,00200388655226;0,621064535410874;0,248137789960485;0,326061966148479;5,00604614685212;7,59752008098817;1,6882182421862;2,8474051393954;-1,10600038208969;1,09485980741306;-0,59352363331271;0,95282369693764
"39";100;20;0;0;1;1;2,08;95,75;0,000247176536521679;0,10009455109092;-0,000800360605707636;0,223550842936721;0,999282147949008;0,521180871873828;0,9995482378133;1,1426503511727;4,97467240478253;7,50378525597991;1,70436616672206;2,86387682893742;-1,10561502195776;1,0845957084181;-0,601441559643174;0,954616292603211
"40";100;20;0;0;1;100;2,08;95,75;0,000447721632633015;0,100046052532092;0,00709973908116043;2,23793952840157;0,998540489980358;0,477754636732633;99,9107014249813;164,600078569259;4,9648296590381;7,41464648569725;1,70114870529213;2,8647483264606;-1,10206774841787;1,08239400083819;-0,601129721879814;0,95418012654141
"41";100;20;0;0;1;4;2,08;95,75;-7,479781752165e-06;0,100032614586501;-0,00385897582175004;0,444952206189095;1,00028591392504;0,639190001982646;4,00370814042535;4,03154554647866;4,95440873615968;7,42421220496058;1,72326673819968;2,88563772918876;-1,10449378102296;1,07796502356678;-0,60697400663346;0,958738494492041
"42";100;20;0;0;1;16;2,08;95,75;0,000303723614008904;0,0998065431107177;-0,000397067959575968;0,896818987114464;0,99658250708748;0,473650113706794;16,0280172059612;18,2559332423383;4,93416718328799;7,37664394564664;1,71343225495526;2,89814037026558;-1,10093684495788;1,07496813297022;-0,601521579523908;0,959596924244636
"43";100;20;1;0;1;0,01;2,08;95,75;1,00056973857896;0,100060784852668;4,47370054634475e-05;0,0223745844931643;0,998715435876957;0,509485995637743;0,00994989122128101;0,0102526397100614;4,97318113614505;7,45520456686245;1,7133678638003;2,88496575945661;-1,10077585349829;1,08517011742597;-0,603264507940466;0,957377276101575
"44";100;20;1;0;1;0,0625;2,08;95,75;0,99973944694704;0,100068110567198;-5,59082418791134e-06;0,0558995045005985;1,00091192953148;0,497709951056812;0,0625260587095075;0,0679053760446643;5,00655498998716;7,58084087644045;1,71777161344992;2,88620500431156;-1,10915510600047;1,09185134978202;-0,603575286220183;0,957484561434643
"45";100;20;1;0;1;0,25;2,08;95,75;1,00021545476317;0,100123781370199;-0,000164232707256498;0,112009041819657;0,996665539920169;0,521640443969805;0,251007001794668;0,372334750138537;4,92022011436231;7,36811283276421;1,71381409310086;2,88283168724411;-1,09772606088995;1,07421640347123;-0,600571791282487;0,958495952400784
"46";100;20;1;0;1;1;2,08;95,75;1,00029598602397;0,10024990854092;0,000276045064040804;0,223317965160629;0,99892928475713;0,489467588857589;0,996309951496288;1,04257755642292;4,96728154117692;7,47850986126363;1,71495949421285;2,89422015685569;-1,09964573556348;1,08792163322186;-0,603921621237183;0,959575223234149
"47";100;20;1;0;1;100;2,08;95,75;0,999856778834969;0,100313910664347;-0,00440402449564464;2,23882151836691;1,00146029241549;0,63534890108469;100,614409091884;111,358022793342;4,9912390799212;7,54863684410019;1,73549298776486;2,92563792770694;-1,10569346875908;1,08920424840736;-0,605334359769089;0,965772535998868
